,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,date
0,Alabama,US,2020-11-11 05:30:39,32.3182,-86.9023,206562,3120,84471.0,118976.0,1.0,4212.91466669114,1406139.0,,1.5104058247445138,84000001.0,USA,28678.073537914643,,2020-11-10
1,Alaska,US,2020-11-11 05:30:39,61.3707,-152.4044,20839,94,7161.0,13579.0,2.0,2847.671708507337,828140.0,,0.4416282642089094,84000002.0,USA,113204.24580852852,,2020-11-10
2,American Samoa,US,2020-11-11 05:30:39,-14.270999999999999,-170.132,0,0,,0.0,60.0,0.0,1768.0,,,16.0,ASM,3177.5129850290255,,2020-11-10
3,Arizona,US,2020-11-11 05:30:39,33.7298,-111.4312,263133,6192,43682.0,213259.0,4.0,3615.10139767764,3094865.0,,2.3531826110750083,84000004.0,USA,26084.459665075592,,2020-11-10
4,Arkansas,US,2020-11-11 05:30:39,34.9697,-92.3731,124235,2112,109235.0,12888.0,5.0,4116.73521540829,1444744.0,,1.7000040246307402,84000005.0,USA,47874.017000441374,,2020-11-10
5,California,US,2020-11-11 05:30:39,36.1162,-119.6816,996453,18162,,971366.0,6.0,2504.116257898221,20094641.0,,1.825896069664212,84000006.0,USA,50856.77158685806,,2020-11-10
6,Colorado,US,2020-11-11 05:30:39,39.0598,-105.3111,138427,2427,8738.0,127262.0,8.0,2403.774022632745,2274428.0,,1.753270676963309,84000008.0,USA,39495.26423854123,,2020-11-10
7,Connecticut,US,2020-11-11 05:30:39,41.5978,-72.7554,82953,4707,9800.0,68446.0,9.0,2326.685060697778,2602262.0,,5.674297493761528,84000009.0,USA,72988.85054695456,,2020-11-10
8,Delaware,US,2020-11-11 05:30:39,39.3185,-75.5071,27112,758,14276.0,12114.0,10.0,2784.2475178790755,599043.0,,2.6630274417232216,84000010.0,USA,61518.29396034357,,2020-11-10
9,Diamond Princess,US,2020-11-11 05:30:39,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,,2020-11-10
10,District of Columbia,US,2020-11-11 05:30:39,38.8974,-77.0268,18173,657,13977.0,3539.0,11.0,2574.994792766267,561833.0,,3.6152533978979813,84000011.0,USA,79608.04762032961,,2020-11-10
11,Florida,US,2020-11-11 05:30:39,27.7663,-81.6868,852174,17248,,834926.0,12.0,3967.708516032206,10646926.0,,2.0239997934694087,84000012.0,USA,29957.72319960897,,2020-11-10
12,Georgia,US,2020-11-11 05:30:39,33.0406,-83.6431,411652,8730,,403388.0,13.0,3877.13666489505,3772524.0,,2.0075209157249327,84000013.0,USA,35531.44675501767,,2020-11-10
13,Grand Princess,US,2020-11-11 05:30:39,,,103,3,,100.0,99999.0,,,,2.912621359223301,84099999.0,USA,,,2020-11-10
14,Guam,US,2020-11-11 05:30:39,13.4443,144.7937,5654,91,3667.0,1896.0,66.0,3442.753715847993,73859.0,,1.6094800141492749,316.0,GUM,44973.17769699627,,2020-11-10
15,Hawaii,US,2020-11-11 05:30:39,21.0943,-157.4983,16320,222,11958.0,4140.0,15.0,1152.6465669213035,570008.0,,1.3602941176470589,84000015.0,USA,40258.441441034214,,2020-11-10
16,Idaho,US,2020-11-11 05:30:39,44.2405,-114.4788,75428,714,33032.0,41682.0,16.0,4220.775405483292,410495.0,,0.9465980802884872,84000016.0,USA,22970.345230867373,,2020-11-10
17,Illinois,US,2020-11-11 05:30:39,40.3495,-88.9861,511183,10645,,500538.0,17.0,4034.013738041281,8571019.0,,2.0824244937722893,84000017.0,USA,67638.415978256,,2020-11-10
18,Indiana,US,2020-11-11 05:30:39,39.8494,-86.2583,219338,4992,136988.0,77619.0,18.0,3258.034238042464,3269653.0,,2.1569449890123917,84000018.0,USA,48567.2406081858,,2020-11-10
19,Iowa,US,2020-11-11 05:30:39,42.0115,-93.2105,163827,1898,102981.0,58948.0,19.0,5192.499690973576,950191.0,,1.1585391907316864,84000019.0,USA,30116.320715546724,,2020-11-10
20,Kansas,US,2020-11-11 05:30:39,38.5266,-96.7265,105462,1183,2842.0,101623.0,20.0,3624.8753138178718,689982.0,,1.0785576303927882,84000020.0,USA,23683.749846394858,,2020-11-10
21,Kentucky,US,2020-11-11 05:30:39,37.6681,-84.6701,124646,1590,23165.0,99891.0,21.0,2789.9535171889256,2105559.0,,1.2756125346982654,84000021.0,USA,47128.76255715224,,2020-11-10
22,Louisiana,US,2020-11-11 05:30:39,31.1695,-91.8678,194702,6058,172210.0,16434.0,22.0,4188.226021630556,2924923.0,,3.1114215570461528,84000022.0,USA,62917.88795115464,,2020-11-10
23,Maine,US,2020-11-11 05:30:39,44.6939,-69.3819,8060,156,6100.0,1804.0,23.0,599.6077999601254,704431.0,,1.935483870967742,84000023.0,USA,52404.75460716018,,2020-11-10
24,Maryland,US,2020-11-11 05:30:39,39.0639,-76.8021,156709,4233,8305.0,144171.0,24.0,2592.082280239775,3702658.0,,2.701184998947093,84000024.0,USA,61244.69042357518,,2020-11-10
25,Massachusetts,US,2020-11-11 05:30:39,42.2302,-71.5301,174881,10184,131646.0,33051.0,25.0,2537.2640389130042,6826328.0,,5.823388475591973,84000025.0,USA,99039.8988582232,,2020-11-10
