,Date,State,Confirmed,Recovered,Deceased,Other,Tested,New_Confirmerd,New_Deaths,New_Recovered
210,2020-03-19,Chandigarh,1,0,0,0,,,,
232,2020-03-20,Chandigarh,5,0,0,0,,4.0,0.0,0.0
255,2020-03-21,Chandigarh,5,0,0,0,,0.0,0.0,0.0
279,2020-03-22,Chandigarh,6,0,0,0,,1.0,0.0,0.0
303,2020-03-23,Chandigarh,7,0,0,0,,1.0,0.0,0.0
327,2020-03-24,Chandigarh,7,0,0,0,,0.0,0.0,0.0
352,2020-03-25,Chandigarh,7,0,0,0,,0.0,0.0,0.0
380,2020-03-26,Chandigarh,7,0,0,0,,0.0,0.0,0.0
408,2020-03-27,Chandigarh,8,0,0,0,,1.0,0.0,0.0
436,2020-03-28,Chandigarh,8,0,0,0,,0.0,0.0,0.0
464,2020-03-29,Chandigarh,8,0,0,0,,0.0,0.0,0.0
492,2020-03-30,Chandigarh,13,0,0,0,,5.0,0.0,0.0
521,2020-03-31,Chandigarh,15,0,0,0,,2.0,0.0,0.0
551,2020-04-01,Chandigarh,17,0,0,0,,2.0,0.0,0.0
582,2020-04-02,Chandigarh,18,0,0,0,124.0,1.0,0.0,0.0
613,2020-04-03,Chandigarh,18,0,0,0,124.0,0.0,0.0,0.0
644,2020-04-04,Chandigarh,18,3,0,0,124.0,0.0,0.0,3.0
675,2020-04-05,Chandigarh,18,5,0,0,124.0,0.0,0.0,2.0
706,2020-04-06,Chandigarh,18,5,0,0,124.0,0.0,0.0,0.0
739,2020-04-07,Chandigarh,18,7,0,0,124.0,0.0,0.0,2.0
772,2020-04-08,Chandigarh,18,7,0,0,184.0,0.0,0.0,0.0
805,2020-04-09,Chandigarh,18,7,0,0,184.0,0.0,0.0,0.0
839,2020-04-10,Chandigarh,19,7,0,0,223.0,1.0,0.0,0.0
873,2020-04-11,Chandigarh,19,7,0,0,264.0,0.0,0.0,0.0
907,2020-04-12,Chandigarh,21,7,0,0,279.0,2.0,0.0,0.0
941,2020-04-13,Chandigarh,21,7,0,0,296.0,0.0,0.0,0.0
976,2020-04-14,Chandigarh,21,7,0,0,309.0,0.0,0.0,0.0
1011,2020-04-15,Chandigarh,21,9,0,0,317.0,0.0,0.0,2.0
1046,2020-04-16,Chandigarh,21,9,0,0,337.0,0.0,0.0,0.0
1081,2020-04-17,Chandigarh,21,9,0,0,358.0,0.0,0.0,0.0
1116,2020-04-18,Chandigarh,23,9,0,0,381.0,2.0,0.0,0.0
1151,2020-04-19,Chandigarh,26,13,0,0,430.0,3.0,0.0,4.0
1186,2020-04-20,Chandigarh,26,14,0,0,453.0,0.0,0.0,1.0
1221,2020-04-21,Chandigarh,27,14,0,0,497.0,1.0,0.0,0.0
1256,2020-04-22,Chandigarh,27,14,0,0,529.0,0.0,0.0,0.0
1291,2020-04-23,Chandigarh,27,14,0,0,599.0,0.0,0.0,0.0
1326,2020-04-24,Chandigarh,27,15,0,0,638.0,0.0,0.0,1.0
1361,2020-04-25,Chandigarh,28,15,0,0,734.0,1.0,0.0,0.0
1396,2020-04-26,Chandigarh,36,17,0,0,756.0,8.0,0.0,2.0
1431,2020-04-27,Chandigarh,45,17,0,0,843.0,9.0,0.0,0.0
1466,2020-04-28,Chandigarh,56,17,0,0,924.0,11.0,0.0,0.0
1501,2020-04-29,Chandigarh,68,17,0,0,1012.0,12.0,0.0,0.0
1536,2020-04-30,Chandigarh,74,18,0,0,1147.0,6.0,0.0,1.0
1571,2020-05-01,Chandigarh,88,18,0,0,1252.0,14.0,0.0,0.0
1606,2020-05-02,Chandigarh,94,19,0,0,1462.0,6.0,0.0,1.0
1641,2020-05-03,Chandigarh,97,19,1,0,1616.0,3.0,1.0,0.0
1676,2020-05-04,Chandigarh,102,21,1,0,1678.0,5.0,0.0,2.0
1712,2020-05-05,Chandigarh,119,21,1,0,1713.0,17.0,0.0,0.0
1748,2020-05-06,Chandigarh,124,21,1,0,1785.0,5.0,0.0,0.0
1784,2020-05-07,Chandigarh,135,21,1,0,1845.0,11.0,0.0,0.0
1820,2020-05-08,Chandigarh,146,21,2,0,1913.0,11.0,1.0,0.0
1856,2020-05-09,Chandigarh,169,24,2,0,2055.0,23.0,0.0,3.0
1892,2020-05-10,Chandigarh,173,24,3,0,2142.0,4.0,1.0,0.0
1928,2020-05-11,Chandigarh,181,28,3,0,2177.0,8.0,0.0,4.0
1964,2020-05-12,Chandigarh,187,30,3,0,2276.0,6.0,0.0,2.0
2000,2020-05-13,Chandigarh,191,30,3,0,2420.0,4.0,0.0,0.0
2036,2020-05-14,Chandigarh,191,37,3,0,2505.0,0.0,0.0,7.0
2072,2020-05-15,Chandigarh,191,40,3,0,2586.0,0.0,0.0,3.0
2108,2020-05-16,Chandigarh,191,51,3,0,2718.0,0.0,0.0,11.0
2144,2020-05-17,Chandigarh,191,51,3,0,2812.0,0.0,0.0,0.0
