,Date,State,Confirmed,Recovered,Deceased,Other,Tested,New_Confirmerd,New_Deaths,New_Recovered
8,2020-03-02,Delhi,1,0,0,0,,,,
12,2020-03-03,Delhi,1,0,0,0,,0.0,0.0,0.0
17,2020-03-04,Delhi,1,0,0,0,,0.0,0.0,0.0
24,2020-03-05,Delhi,2,0,0,0,,1.0,0.0,0.0
31,2020-03-06,Delhi,3,0,0,0,,1.0,0.0,0.0
38,2020-03-07,Delhi,3,0,0,0,,0.0,0.0,0.0
47,2020-03-08,Delhi,3,0,0,0,,0.0,0.0,0.0
56,2020-03-09,Delhi,4,0,0,0,,1.0,0.0,0.0
69,2020-03-10,Delhi,4,0,0,0,,0.0,0.0,0.0
82,2020-03-11,Delhi,5,0,0,0,,1.0,0.0,0.0
96,2020-03-12,Delhi,6,0,0,0,,1.0,0.0,0.0
110,2020-03-13,Delhi,7,0,0,0,,1.0,0.0,0.0
124,2020-03-14,Delhi,7,0,0,0,,0.0,0.0,0.0
139,2020-03-15,Delhi,7,0,0,0,,0.0,0.0,0.0
155,2020-03-16,Delhi,7,0,0,0,,0.0,0.0,0.0
172,2020-03-17,Delhi,10,0,0,0,,3.0,0.0,0.0
191,2020-03-18,Delhi,11,0,0,0,,1.0,0.0,0.0
212,2020-03-19,Delhi,14,0,0,0,,3.0,0.0,0.0
234,2020-03-20,Delhi,20,0,0,0,,6.0,0.0,0.0
257,2020-03-21,Delhi,27,0,0,0,,7.0,0.0,0.0
281,2020-03-22,Delhi,28,0,0,0,,1.0,0.0,0.0
305,2020-03-23,Delhi,30,0,0,0,,2.0,0.0,0.0
329,2020-03-24,Delhi,30,0,0,0,,0.0,0.0,0.0
354,2020-03-25,Delhi,35,0,0,0,,5.0,0.0,0.0
382,2020-03-26,Delhi,39,0,0,0,,4.0,0.0,0.0
410,2020-03-27,Delhi,40,0,0,0,,1.0,0.0,0.0
438,2020-03-28,Delhi,49,0,0,0,,9.0,0.0,0.0
466,2020-03-29,Delhi,72,6,2,0,,23.0,2.0,6.0
494,2020-03-30,Delhi,97,6,2,0,,25.0,0.0,0.0
523,2020-03-31,Delhi,120,6,2,0,,23.0,0.0,0.0
553,2020-04-01,Delhi,152,6,2,0,2621.0,32.0,0.0,0.0
584,2020-04-02,Delhi,293,8,4,0,2621.0,141.0,2.0,2.0
615,2020-04-03,Delhi,386,8,6,0,2621.0,93.0,2.0,0.0
646,2020-04-04,Delhi,445,16,6,0,2621.0,59.0,0.0,8.0
677,2020-04-05,Delhi,503,16,7,0,2621.0,58.0,1.0,0.0
708,2020-04-06,Delhi,525,16,7,0,2621.0,22.0,0.0,0.0
741,2020-04-07,Delhi,576,20,9,0,9041.0,51.0,2.0,4.0
774,2020-04-08,Delhi,669,21,9,0,9041.0,93.0,0.0,1.0
807,2020-04-09,Delhi,720,25,12,0,9968.0,51.0,3.0,4.0
841,2020-04-10,Delhi,903,27,14,0,11061.0,183.0,2.0,2.0
875,2020-04-11,Delhi,1069,27,19,0,11709.0,166.0,5.0,0.0
909,2020-04-12,Delhi,1154,28,24,0,14036.0,85.0,5.0,1.0
943,2020-04-13,Delhi,1510,31,28,0,15032.0,356.0,4.0,3.0
978,2020-04-14,Delhi,1561,31,30,0,16282.0,51.0,2.0,0.0
1013,2020-04-15,Delhi,1578,41,32,0,16605.0,17.0,2.0,10.0
1048,2020-04-16,Delhi,1640,52,38,0,18784.0,62.0,6.0,11.0
1083,2020-04-17,Delhi,1707,72,42,0,21409.0,67.0,4.0,20.0
1118,2020-04-18,Delhi,1893,207,43,0,22283.0,186.0,1.0,135.0
1153,2020-04-19,Delhi,2003,290,45,0,24387.0,110.0,2.0,83.0
1188,2020-04-20,Delhi,2081,431,47,0,25900.0,78.0,2.0,141.0
1223,2020-04-21,Delhi,2156,611,47,0,26627.0,75.0,0.0,180.0
1258,2020-04-22,Delhi,2248,724,48,0,28309.0,92.0,1.0,113.0
1293,2020-04-23,Delhi,2376,808,50,0,30560.0,128.0,2.0,84.0
1328,2020-04-24,Delhi,2514,857,53,0,33672.0,138.0,3.0,49.0
1363,2020-04-25,Delhi,2625,869,54,0,35519.0,111.0,1.0,12.0
1398,2020-04-26,Delhi,2918,877,54,0,37613.0,293.0,0.0,8.0
1433,2020-04-27,Delhi,3108,877,54,0,39911.0,190.0,0.0,0.0
1468,2020-04-28,Delhi,3314,1078,54,0,43370.0,206.0,0.0,201.0
1503,2020-04-29,Delhi,3439,1092,56,0,47225.0,125.0,2.0,14.0
1538,2020-04-30,Delhi,3515,1094,59,0,47225.0,76.0,3.0,2.0
1573,2020-05-01,Delhi,3738,1167,61,0,47225.0,223.0,2.0,73.0
1608,2020-05-02,Delhi,4122,1256,64,0,58210.0,384.0,3.0,89.0
1643,2020-05-03,Delhi,4549,1362,64,0,60246.0,427.0,0.0,106.0
1678,2020-05-04,Delhi,4898,1431,64,0,64108.0,349.0,0.0,69.0
1714,2020-05-05,Delhi,5104,1468,64,0,67852.0,206.0,0.0,37.0
1750,2020-05-06,Delhi,5532,1542,65,0,71934.0,428.0,1.0,74.0
1786,2020-05-07,Delhi,5980,1931,66,0,77234.0,448.0,1.0,389.0
1822,2020-05-08,Delhi,6318,2020,68,0,81367.0,338.0,2.0,89.0
1858,2020-05-09,Delhi,6542,2020,68,0,84226.0,224.0,0.0,0.0
1894,2020-05-10,Delhi,6923,2069,73,0,93810.0,381.0,5.0,49.0
1930,2020-05-11,Delhi,7233,2129,73,0,97678.0,310.0,0.0,60.0
1966,2020-05-12,Delhi,7639,2512,86,0,106109.0,406.0,13.0,383.0
2002,2020-05-13,Delhi,7998,2858,106,0,113345.0,359.0,20.0,346.0
2038,2020-05-14,Delhi,8470,3045,115,0,119736.0,472.0,9.0,187.0
2074,2020-05-15,Delhi,8895,3518,123,0,125189.0,425.0,8.0,473.0
2110,2020-05-16,Delhi,9333,3926,129,0,130845.0,438.0,6.0,408.0
2146,2020-05-17,Delhi,9755,4202,148,0,135791.0,422.0,19.0,276.0
2182,2020-05-18,Delhi,10054,4485,160,0,139727.0,299.0,12.0,283.0
2218,2020-05-19,Delhi,10554,4750,166,0,145854.0,500.0,6.0,265.0
2255,2020-05-20,Delhi,11088,5192,176,0,150282.0,534.0,10.0,442.0
2292,2020-05-21,Delhi,11659,5567,194,0,154385.0,571.0,18.0,375.0
2329,2020-05-22,Delhi,12319,5897,208,0,160255.0,660.0,14.0,330.0
2366,2020-05-23,Delhi,12910,6267,231,0,165047.0,591.0,23.0,370.0
2403,2020-05-24,Delhi,13418,6540,261,0,169873.0,508.0,30.0,273.0
2440,2020-05-25,Delhi,14053,6771,276,0,174469.0,635.0,15.0,231.0
2477,2020-05-26,Delhi,14465,6954,288,0,178579.0,412.0,12.0,183.0
2514,2020-05-27,Delhi,15257,7264,303,0,184362.0,792.0,15.0,310.0
2551,2020-05-28,Delhi,16281,7495,316,0,191977.0,1024.0,13.0,231.0
2588,2020-05-29,Delhi,17386,7846,398,0,199626.0,1105.0,82.0,351.0
2625,2020-05-30,Delhi,18549,8075,416,0,206739.0,1163.0,18.0,229.0
2662,2020-05-31,Delhi,19844,8478,473,0,212784.0,1295.0,57.0,403.0
2699,2020-06-01,Delhi,20834,8746,523,0,217537.0,990.0,50.0,268.0
2736,2020-06-02,Delhi,22132,9243,556,0,223607.0,1298.0,33.0,497.0
2773,2020-06-03,Delhi,23645,9542,615,0,230145.0,1513.0,59.0,299.0
2810,2020-06-04,Delhi,25004,9898,659,0,236506.0,1359.0,44.0,356.0
2847,2020-06-05,Delhi,26334,10315,708,0,241693.0,1330.0,49.0,417.0
2884,2020-06-06,Delhi,27654,10664,761,0,246873.0,1320.0,53.0,349.0
2921,2020-06-07,Delhi,28936,10999,812,0,251915.0,1282.0,51.0,335.0
2958,2020-06-08,Delhi,29943,11357,874,0,255615.0,1007.0,62.0,358.0
2995,2020-06-09,Delhi,31309,11861,905,0,261079.0,1366.0,31.0,504.0
3032,2020-06-10,Delhi,32810,12245,984,0,266156.0,1501.0,79.0,384.0
3069,2020-06-11,Delhi,34687,12731,1085,0,271516.0,1877.0,101.0,486.0
3106,2020-06-12,Delhi,36824,13398,1214,0,277463.0,2137.0,129.0,667.0
3143,2020-06-13,Delhi,38958,14945,1271,0,283239.0,2134.0,57.0,1547.0
3180,2020-06-14,Delhi,41182,15823,1327,0,290592.0,2224.0,56.0,878.0
3217,2020-06-15,Delhi,42829,16427,1400,0,296697.0,1647.0,73.0,604.0
3254,2020-06-16,Delhi,44688,16500,1837,0,304483.0,1859.0,437.0,73.0
3291,2020-06-17,Delhi,47102,17457,1904,0,312576.0,2414.0,67.0,957.0
3328,2020-06-18,Delhi,49979,21341,1969,0,321302.0,2877.0,65.0,3884.0
3365,2020-06-19,Delhi,53116,23569,2035,0,334376.0,3137.0,66.0,2228.0
3402,2020-06-20,Delhi,56746,31294,2112,0,351909.0,3630.0,77.0,7725.0
3439,2020-06-21,Delhi,59746,33013,2175,0,370014.0,3000.0,63.0,1719.0
3476,2020-06-22,Delhi,62655,36602,2233,0,384696.0,2909.0,58.0,3589.0
3513,2020-06-23,Delhi,66602,39313,2301,0,401648.0,3947.0,68.0,2711.0
3550,2020-06-24,Delhi,70390,41437,2365,0,420707.0,3788.0,64.0,2124.0
3587,2020-06-25,Delhi,73780,44765,2429,0,438012.0,3390.0,64.0,3328.0
3624,2020-06-26,Delhi,77240,47091,2492,0,459156.0,3460.0,63.0,2326.0
3661,2020-06-27,Delhi,80188,49301,2558,0,478336.0,2948.0,66.0,2210.0
3698,2020-06-28,Delhi,83077,52607,2623,0,498416.0,2889.0,65.0,3306.0
3735,2020-06-29,Delhi,85161,56235,2680,0,514573.0,2084.0,57.0,3628.0
3772,2020-06-30,Delhi,87360,58348,2742,0,531752.0,2199.0,62.0,2113.0
3809,2020-07-01,Delhi,89802,59992,2803,0,551708.0,2442.0,61.0,1644.0
3846,2020-07-02,Delhi,92175,63007,2864,0,572530.0,2373.0,61.0,3015.0
3883,2020-07-03,Delhi,94695,65624,2923,0,596695.0,2520.0,59.0,2617.0
3920,2020-07-04,Delhi,97200,68256,3004,0,620368.0,2505.0,81.0,2632.0
3957,2020-07-05,Delhi,99444,71339,3067,0,643504.0,2244.0,63.0,3083.0
3994,2020-07-06,Delhi,100823,72088,3115,0,657383.0,1379.0,48.0,749.0
4031,2020-07-07,Delhi,102831,74217,3165,0,679831.0,2008.0,50.0,2129.0
4068,2020-07-08,Delhi,104864,78199,3213,0,701859.0,2033.0,48.0,3982.0
4105,2020-07-09,Delhi,107051,82226,3258,0,724148.0,2187.0,45.0,4027.0
4142,2020-07-10,Delhi,109140,84694,3300,0,747109.0,2089.0,42.0,2468.0
4179,2020-07-11,Delhi,110921,87692,3334,0,768617.0,1781.0,34.0,2998.0
4216,2020-07-12,Delhi,112494,89968,3371,0,789853.0,1573.0,37.0,2276.0
4253,2020-07-13,Delhi,113740,91312,3411,0,692845.0,1246.0,40.0,1344.0
4290,2020-07-14,Delhi,115346,93236,3446,0,713908.0,1606.0,35.0,1924.0
4327,2020-07-15,Delhi,116993,95699,3487,0,736436.0,1647.0,41.0,2463.0
4364,2020-07-16,Delhi,118645,97693,3545,0,756661.0,1652.0,58.0,1994.0
4401,2020-07-17,Delhi,120107,99301,3571,0,777125.0,1462.0,26.0,1608.0
4438,2020-07-18,Delhi,121582,101274,3597,0,798783.0,1475.0,26.0,1973.0
4475,2020-07-19,Delhi,122793,103134,3628,0,818989.0,1211.0,31.0,1860.0
4511,2020-07-20,Delhi,123747,104918,3663,0,830459.0,954.0,35.0,1784.0
4547,2020-07-21,Delhi,125096,106118,3690,0,851311.0,1349.0,27.0,1200.0
4583,2020-07-22,Delhi,126323,107650,3719,0,871371.0,1227.0,29.0,1532.0
4619,2020-07-23,Delhi,127364,109065,3745,0,889597.0,1041.0,26.0,1415.0
4655,2020-07-24,Delhi,128389,110931,3777,0,908735.0,1025.0,32.0,1866.0
4691,2020-07-25,Delhi,129531,113068,3806,0,929244.0,1142.0,29.0,2137.0
4727,2020-07-26,Delhi,130606,114875,3827,0,946777.0,1075.0,21.0,1807.0
4763,2020-07-27,Delhi,131219,116372,3853,0,958283.0,613.0,26.0,1497.0
4799,2020-07-28,Delhi,132275,117507,3881,0,976827.0,1056.0,28.0,1135.0
4835,2020-07-29,Delhi,133310,118633,3907,0,994219.0,1035.0,26.0,1126.0
4871,2020-07-30,Delhi,134403,119724,3936,0,1013694.0,1093.0,29.0,1091.0
4907,2020-07-31,Delhi,135598,120930,3963,0,1032785.0,1195.0,27.0,1206.0
4943,2020-08-01,Delhi,136716,122131,3989,0,1050939.0,1118.0,26.0,1201.0
4979,2020-08-02,Delhi,137677,123317,4004,0,1063669.0,961.0,15.0,1186.0
5015,2020-08-03,Delhi,138482,124254,4021,0,1073802.0,805.0,17.0,937.0
5051,2020-08-04,Delhi,139156,125226,4033,0,1083097.0,674.0,12.0,972.0
5087,2020-08-05,Delhi,140232,126116,4044,0,1099882.0,1076.0,11.0,890.0
5123,2020-08-06,Delhi,141531,127124,4059,0,1120318.0,1299.0,15.0,1008.0
5159,2020-08-07,Delhi,142723,128232,4082,0,1143703.0,1192.0,23.0,1108.0
