,Date,State,Confirmed,Recovered,Deceased,Other,Tested,New_Confirmerd,New_Deaths,New_Recovered
59,2020-03-09,Karnataka,1,0,0,0,,,,
72,2020-03-10,Karnataka,4,0,0,0,,3.0,0.0,0.0
85,2020-03-11,Karnataka,4,0,0,0,,0.0,0.0,0.0
99,2020-03-12,Karnataka,5,0,0,0,,1.0,0.0,0.0
113,2020-03-13,Karnataka,6,0,1,0,,1.0,1.0,0.0
128,2020-03-14,Karnataka,6,0,1,0,,0.0,0.0,0.0
143,2020-03-15,Karnataka,6,0,1,0,,0.0,0.0,0.0
159,2020-03-16,Karnataka,7,0,1,0,,1.0,0.0,0.0
176,2020-03-17,Karnataka,11,0,1,0,,4.0,0.0,0.0
195,2020-03-18,Karnataka,14,0,1,0,,3.0,0.0,0.0
217,2020-03-19,Karnataka,15,0,1,0,,1.0,0.0,0.0
239,2020-03-20,Karnataka,15,1,1,0,,0.0,0.0,1.0
262,2020-03-21,Karnataka,20,1,1,0,,5.0,0.0,0.0
286,2020-03-22,Karnataka,26,1,1,0,,6.0,0.0,0.0
310,2020-03-23,Karnataka,33,1,1,0,,7.0,0.0,0.0
334,2020-03-24,Karnataka,41,3,1,0,,8.0,0.0,2.0
360,2020-03-25,Karnataka,51,3,1,0,,10.0,0.0,0.0
388,2020-03-26,Karnataka,55,3,2,0,,4.0,1.0,0.0
416,2020-03-27,Karnataka,64,5,3,0,,9.0,1.0,2.0
444,2020-03-28,Karnataka,76,5,3,0,,12.0,0.0,0.0
472,2020-03-29,Karnataka,83,5,3,0,,7.0,0.0,0.0
500,2020-03-30,Karnataka,88,6,3,0,,5.0,0.0,1.0
530,2020-03-31,Karnataka,101,8,3,0,,13.0,0.0,2.0
560,2020-04-01,Karnataka,110,9,3,0,,9.0,0.0,1.0
591,2020-04-02,Karnataka,124,11,3,0,,14.0,0.0,2.0
622,2020-04-03,Karnataka,128,11,4,0,4587.0,4.0,1.0,0.0
653,2020-04-04,Karnataka,144,11,4,0,4587.0,16.0,0.0,0.0
684,2020-04-05,Karnataka,151,12,4,0,4587.0,7.0,0.0,1.0
715,2020-04-06,Karnataka,163,20,4,0,4587.0,12.0,0.0,8.0
748,2020-04-07,Karnataka,175,25,4,0,6580.0,12.0,0.0,5.0
781,2020-04-08,Karnataka,181,28,5,0,6967.0,6.0,1.0,3.0
815,2020-04-09,Karnataka,197,30,6,0,7613.0,16.0,1.0,2.0
849,2020-04-10,Karnataka,207,34,6,0,7975.0,10.0,0.0,4.0
883,2020-04-11,Karnataka,215,39,6,0,8560.0,8.0,0.0,5.0
917,2020-04-12,Karnataka,232,54,6,0,9251.0,17.0,0.0,15.0
951,2020-04-13,Karnataka,247,60,8,0,10017.0,15.0,2.0,6.0
986,2020-04-14,Karnataka,260,71,10,0,11107.0,13.0,2.0,11.0
1021,2020-04-15,Karnataka,279,80,12,0,12483.0,19.0,2.0,9.0
1056,2020-04-16,Karnataka,315,82,13,0,13724.0,36.0,1.0,2.0
1091,2020-04-17,Karnataka,359,88,13,0,17594.0,44.0,0.0,6.0
1126,2020-04-18,Karnataka,384,104,14,0,19186.0,25.0,1.0,16.0
1161,2020-04-19,Karnataka,390,111,16,0,21367.0,6.0,2.0,7.0
1196,2020-04-20,Karnataka,408,112,16,0,23460.0,18.0,0.0,1.0
1231,2020-04-21,Karnataka,418,129,17,0,26233.0,10.0,1.0,17.0
1266,2020-04-22,Karnataka,427,131,17,0,29512.0,9.0,0.0,2.0
1301,2020-04-23,Karnataka,445,145,17,0,32122.0,18.0,0.0,14.0
1336,2020-04-24,Karnataka,474,152,18,0,35958.0,29.0,1.0,7.0
1371,2020-04-25,Karnataka,500,158,18,0,39083.0,26.0,0.0,6.0
1406,2020-04-26,Karnataka,503,182,19,0,42964.0,3.0,1.0,24.0
1441,2020-04-27,Karnataka,512,193,20,1,45685.0,9.0,1.0,11.0
1476,2020-04-28,Karnataka,523,207,20,1,50512.0,11.0,0.0,14.0
1511,2020-04-29,Karnataka,535,216,21,1,55404.0,12.0,1.0,9.0
1546,2020-04-30,Karnataka,565,229,22,1,60156.0,30.0,1.0,13.0
1581,2020-05-01,Karnataka,589,251,22,1,64898.0,24.0,0.0,22.0
1616,2020-05-02,Karnataka,601,271,25,1,69730.0,12.0,3.0,20.0
1651,2020-05-03,Karnataka,614,293,25,1,74898.0,13.0,0.0,22.0
1686,2020-05-04,Karnataka,651,321,27,1,79193.0,37.0,2.0,28.0
1722,2020-05-05,Karnataka,673,331,29,1,83806.0,22.0,2.0,10.0
1758,2020-05-06,Karnataka,693,354,29,1,88777.0,20.0,0.0,23.0
1794,2020-05-07,Karnataka,705,366,30,1,93535.0,12.0,1.0,12.0
1830,2020-05-08,Karnataka,753,376,30,1,98081.0,48.0,0.0,10.0
1866,2020-05-09,Karnataka,794,386,30,1,103098.0,41.0,0.0,10.0
