,Date,State,Confirmed,Recovered,Deceased,Other,Tested,New_Confirmerd,New_Deaths,New_Recovered
11074,2021-01-18,Lakshadweep,14,0,0,0,,,,
11111,2021-01-19,Lakshadweep,21,0,0,0,,7.0,0.0,0.0
11148,2021-01-20,Lakshadweep,30,0,0,0,,9.0,0.0,0.0
11185,2021-01-21,Lakshadweep,48,0,0,0,524.0,18.0,0.0,0.0
11222,2021-01-22,Lakshadweep,50,0,0,0,524.0,2.0,0.0,0.0
11259,2021-01-23,Lakshadweep,57,0,0,0,524.0,7.0,0.0,0.0
11296,2021-01-24,Lakshadweep,57,0,0,0,687.0,0.0,0.0,0.0
11333,2021-01-25,Lakshadweep,67,0,0,0,888.0,10.0,0.0,0.0
11370,2021-01-26,Lakshadweep,69,0,0,0,888.0,2.0,0.0,0.0
11407,2021-01-27,Lakshadweep,69,0,0,0,888.0,0.0,0.0,0.0
11444,2021-01-28,Lakshadweep,69,0,0,0,888.0,0.0,0.0,0.0
11481,2021-01-29,Lakshadweep,70,14,0,0,888.0,1.0,0.0,14.0
11518,2021-01-30,Lakshadweep,79,30,0,0,888.0,9.0,0.0,16.0
11555,2021-01-31,Lakshadweep,87,49,0,0,2328.0,8.0,0.0,19.0
11592,2021-02-01,Lakshadweep,99,56,0,0,2919.0,12.0,0.0,7.0
11629,2021-02-02,Lakshadweep,119,56,0,0,4125.0,20.0,0.0,0.0
11666,2021-02-03,Lakshadweep,122,61,0,0,4263.0,3.0,0.0,5.0
11703,2021-02-04,Lakshadweep,126,61,0,0,5321.0,4.0,0.0,0.0
11740,2021-02-05,Lakshadweep,141,63,0,2,6141.0,15.0,0.0,2.0
11777,2021-02-06,Lakshadweep,151,63,0,2,7537.0,10.0,0.0,0.0
11814,2021-02-07,Lakshadweep,153,63,0,2,8160.0,2.0,0.0,0.0
11851,2021-02-08,Lakshadweep,154,74,0,2,9136.0,1.0,0.0,11.0
11888,2021-02-09,Lakshadweep,166,90,0,3,10230.0,12.0,0.0,16.0
11925,2021-02-10,Lakshadweep,181,115,0,3,11391.0,15.0,0.0,25.0
11962,2021-02-11,Lakshadweep,187,116,0,3,12738.0,6.0,0.0,1.0
11999,2021-02-12,Lakshadweep,188,116,0,3,14179.0,1.0,0.0,0.0
12036,2021-02-13,Lakshadweep,224,131,0,3,15895.0,36.0,0.0,15.0
12073,2021-02-14,Lakshadweep,233,133,0,3,16808.0,9.0,0.0,2.0
12110,2021-02-15,Lakshadweep,234,140,0,3,17518.0,1.0,0.0,7.0
12147,2021-02-16,Lakshadweep,251,155,0,3,18510.0,17.0,0.0,15.0
12184,2021-02-17,Lakshadweep,261,161,0,3,19652.0,10.0,0.0,6.0
12221,2021-02-18,Lakshadweep,263,164,0,3,20713.0,2.0,0.0,3.0
12258,2021-02-19,Lakshadweep,272,178,0,3,21702.0,9.0,0.0,14.0
12295,2021-02-20,Lakshadweep,277,189,0,3,22895.0,5.0,0.0,11.0
12332,2021-02-21,Lakshadweep,280,201,0,3,24868.0,3.0,0.0,12.0
12369,2021-02-22,Lakshadweep,295,212,0,3,26676.0,15.0,0.0,11.0
12406,2021-02-23,Lakshadweep,316,233,0,3,27527.0,21.0,0.0,21.0
12443,2021-02-24,Lakshadweep,322,233,0,3,28403.0,6.0,0.0,0.0
12480,2021-02-25,Lakshadweep,331,240,1,4,28881.0,9.0,1.0,7.0
12517,2021-02-26,Lakshadweep,333,248,1,4,29383.0,2.0,0.0,8.0
12554,2021-02-27,Lakshadweep,359,256,1,4,30210.0,26.0,0.0,8.0
12591,2021-02-28,Lakshadweep,382,257,1,4,31207.0,23.0,0.0,1.0
12628,2021-03-01,Lakshadweep,397,264,1,4,32397.0,15.0,0.0,7.0
