,Date,State,Confirmed,Recovered,Deceased,Other,Tested,New_Confirmerd,New_Deaths,New_Recovered
62,2020-03-09,Maharashtra,2,0,0,0,,,,
75,2020-03-10,Maharashtra,5,0,0,0,,3.0,0.0,0.0
88,2020-03-11,Maharashtra,11,0,0,0,,6.0,0.0,0.0
102,2020-03-12,Maharashtra,14,0,0,0,,3.0,0.0,0.0
116,2020-03-13,Maharashtra,17,0,0,0,,3.0,0.0,0.0
131,2020-03-14,Maharashtra,26,0,0,0,,9.0,0.0,0.0
146,2020-03-15,Maharashtra,32,0,0,0,,6.0,0.0,0.0
162,2020-03-16,Maharashtra,39,0,0,0,,7.0,0.0,0.0
179,2020-03-17,Maharashtra,41,0,0,0,,2.0,0.0,0.0
198,2020-03-18,Maharashtra,45,0,0,0,,4.0,0.0,0.0
220,2020-03-19,Maharashtra,48,0,0,0,,3.0,0.0,0.0
242,2020-03-20,Maharashtra,52,0,0,0,,4.0,0.0,0.0
265,2020-03-21,Maharashtra,64,0,0,0,,12.0,0.0,0.0
289,2020-03-22,Maharashtra,74,0,0,0,,10.0,0.0,0.0
313,2020-03-23,Maharashtra,89,0,0,0,,15.0,0.0,0.0
337,2020-03-24,Maharashtra,107,0,0,0,,18.0,0.0,0.0
363,2020-03-25,Maharashtra,122,0,0,0,,15.0,0.0,0.0
391,2020-03-26,Maharashtra,125,0,0,0,,3.0,0.0,0.0
419,2020-03-27,Maharashtra,153,0,0,0,,28.0,0.0,0.0
447,2020-03-28,Maharashtra,181,0,0,0,,28.0,0.0,0.0
475,2020-03-29,Maharashtra,203,25,8,0,,22.0,8.0,25.0
503,2020-03-30,Maharashtra,220,39,10,0,,17.0,2.0,14.0
533,2020-03-31,Maharashtra,302,39,11,0,,82.0,1.0,0.0
563,2020-04-01,Maharashtra,335,39,16,0,,33.0,5.0,0.0
594,2020-04-02,Maharashtra,423,42,21,0,,88.0,5.0,3.0
625,2020-04-03,Maharashtra,487,50,26,0,,64.0,5.0,8.0
656,2020-04-04,Maharashtra,635,52,32,0,,148.0,6.0,2.0
687,2020-04-05,Maharashtra,747,56,45,0,16008.0,112.0,13.0,4.0
