,Date,State,Confirmed,Recovered,Deceased,Other,Tested,New_Confirmerd,New_Deaths,New_Recovered
182,2020-03-17,Puducherry,1,0,0,0,,,,
201,2020-03-18,Puducherry,1,0,0,0,,0.0,0.0,0.0
223,2020-03-19,Puducherry,1,0,0,0,,0.0,0.0,0.0
246,2020-03-20,Puducherry,1,0,0,0,,0.0,0.0,0.0
269,2020-03-21,Puducherry,1,0,0,0,,0.0,0.0,0.0
293,2020-03-22,Puducherry,1,0,0,0,,0.0,0.0,0.0
317,2020-03-23,Puducherry,1,0,0,0,,0.0,0.0,0.0
342,2020-03-24,Puducherry,1,0,0,0,,0.0,0.0,0.0
369,2020-03-25,Puducherry,1,0,0,0,,0.0,0.0,0.0
397,2020-03-26,Puducherry,1,0,0,0,,0.0,0.0,0.0
425,2020-03-27,Puducherry,1,0,0,0,,0.0,0.0,0.0
453,2020-03-28,Puducherry,1,0,0,0,,0.0,0.0,0.0
481,2020-03-29,Puducherry,1,0,0,0,,0.0,0.0,0.0
509,2020-03-30,Puducherry,1,0,0,0,,0.0,0.0,0.0
539,2020-03-31,Puducherry,1,0,0,0,,0.0,0.0,0.0
569,2020-04-01,Puducherry,3,0,0,0,,2.0,0.0,0.0
600,2020-04-02,Puducherry,5,0,0,0,,2.0,0.0,0.0
631,2020-04-03,Puducherry,5,0,0,0,,0.0,0.0,0.0
662,2020-04-04,Puducherry,5,0,0,0,,0.0,0.0,0.0
693,2020-04-05,Puducherry,5,0,0,0,,0.0,0.0,0.0
725,2020-04-06,Puducherry,5,0,0,0,,0.0,0.0,0.0
758,2020-04-07,Puducherry,5,1,0,0,,0.0,0.0,1.0
791,2020-04-08,Puducherry,5,1,0,0,,0.0,0.0,0.0
825,2020-04-09,Puducherry,5,1,0,0,,0.0,0.0,0.0
859,2020-04-10,Puducherry,7,1,0,0,,2.0,0.0,0.0
893,2020-04-11,Puducherry,7,1,0,0,,0.0,0.0,0.0
927,2020-04-12,Puducherry,7,1,0,0,,0.0,0.0,0.0
962,2020-04-13,Puducherry,7,1,0,0,,0.0,0.0,0.0
997,2020-04-14,Puducherry,7,1,0,0,,0.0,0.0,0.0
1032,2020-04-15,Puducherry,7,1,0,0,,0.0,0.0,0.0
1067,2020-04-16,Puducherry,7,1,0,0,,0.0,0.0,0.0
1102,2020-04-17,Puducherry,7,1,0,0,,0.0,0.0,0.0
1137,2020-04-18,Puducherry,7,4,0,0,1207.0,0.0,0.0,3.0
1172,2020-04-19,Puducherry,7,4,0,0,1245.0,0.0,0.0,0.0
1207,2020-04-20,Puducherry,7,4,0,0,1272.0,0.0,0.0,0.0
1242,2020-04-21,Puducherry,7,4,0,0,1319.0,0.0,0.0,0.0
1277,2020-04-22,Puducherry,7,4,0,0,1473.0,0.0,0.0,0.0
1312,2020-04-23,Puducherry,7,4,0,0,1548.0,0.0,0.0,0.0
1347,2020-04-24,Puducherry,7,4,0,0,1704.0,0.0,0.0,0.0
1382,2020-04-25,Puducherry,8,4,0,0,1864.0,1.0,0.0,0.0
1417,2020-04-26,Puducherry,8,4,0,0,1977.0,0.0,0.0,0.0
1452,2020-04-27,Puducherry,8,5,0,0,2014.0,0.0,0.0,1.0
1487,2020-04-28,Puducherry,8,5,0,0,2156.0,0.0,0.0,0.0
1522,2020-04-29,Puducherry,8,5,0,0,2228.0,0.0,0.0,0.0
1557,2020-04-30,Puducherry,8,5,0,0,2353.0,0.0,0.0,0.0
1592,2020-05-01,Puducherry,8,5,0,0,2698.0,0.0,0.0,0.0
1627,2020-05-02,Puducherry,9,5,0,0,2990.0,1.0,0.0,0.0
1662,2020-05-03,Puducherry,9,6,0,0,3155.0,0.0,0.0,1.0
1697,2020-05-04,Puducherry,9,6,0,0,3281.0,0.0,0.0,0.0
1733,2020-05-05,Puducherry,9,6,0,0,3560.0,0.0,0.0,0.0
1769,2020-05-06,Puducherry,9,6,0,0,3641.0,0.0,0.0,0.0
1805,2020-05-07,Puducherry,9,6,0,0,3866.0,0.0,0.0,0.0
1841,2020-05-08,Puducherry,10,8,0,0,4111.0,1.0,0.0,2.0
1877,2020-05-09,Puducherry,10,8,0,0,4266.0,0.0,0.0,0.0
1913,2020-05-10,Puducherry,12,9,0,0,4364.0,2.0,0.0,1.0
1949,2020-05-11,Puducherry,12,9,0,0,4486.0,0.0,0.0,0.0
1985,2020-05-12,Puducherry,12,9,0,0,4486.0,0.0,0.0,0.0
2021,2020-05-13,Puducherry,13,9,0,0,4919.0,1.0,0.0,0.0
2057,2020-05-14,Puducherry,16,9,0,0,5112.0,3.0,0.0,0.0
2093,2020-05-15,Puducherry,16,9,0,0,5312.0,0.0,0.0,0.0
2129,2020-05-16,Puducherry,17,9,0,0,5484.0,1.0,0.0,0.0
2165,2020-05-17,Puducherry,17,9,0,0,5619.0,0.0,0.0,0.0
2201,2020-05-18,Puducherry,17,9,0,0,5754.0,0.0,0.0,0.0
