,Date,State,Confirmed,Recovered,Deceased,Other,Tested,New_Confirmerd,New_Deaths,New_Recovered
14,2020-03-03,Rajasthan,1,0,0,0,,,,
20,2020-03-04,Rajasthan,2,0,0,0,,1.0,0.0,0.0
27,2020-03-05,Rajasthan,2,0,0,0,,0.0,0.0,0.0
34,2020-03-06,Rajasthan,2,0,0,0,,0.0,0.0,0.0
42,2020-03-07,Rajasthan,2,0,0,0,,0.0,0.0,0.0
51,2020-03-08,Rajasthan,2,0,0,0,,0.0,0.0,0.0
64,2020-03-09,Rajasthan,2,0,0,0,,0.0,0.0,0.0
77,2020-03-10,Rajasthan,3,0,0,0,,1.0,0.0,0.0
90,2020-03-11,Rajasthan,3,0,0,0,,0.0,0.0,0.0
104,2020-03-12,Rajasthan,3,0,0,0,,0.0,0.0,0.0
118,2020-03-13,Rajasthan,3,0,0,0,,0.0,0.0,0.0
133,2020-03-14,Rajasthan,4,0,0,0,,1.0,0.0,0.0
148,2020-03-15,Rajasthan,4,0,0,0,,0.0,0.0,0.0
165,2020-03-16,Rajasthan,4,0,0,0,,0.0,0.0,0.0
183,2020-03-17,Rajasthan,4,0,0,0,,0.0,0.0,0.0
202,2020-03-18,Rajasthan,7,0,0,0,,3.0,0.0,0.0
224,2020-03-19,Rajasthan,9,0,0,0,,2.0,0.0,0.0
247,2020-03-20,Rajasthan,17,0,0,0,,8.0,0.0,0.0
270,2020-03-21,Rajasthan,24,0,0,0,,7.0,0.0,0.0
294,2020-03-22,Rajasthan,29,0,0,0,,5.0,0.0,0.0
318,2020-03-23,Rajasthan,32,0,0,0,,3.0,0.0,0.0
343,2020-03-24,Rajasthan,32,0,0,0,,0.0,0.0,0.0
370,2020-03-25,Rajasthan,38,0,0,0,,6.0,0.0,0.0
398,2020-03-26,Rajasthan,43,0,0,0,,5.0,0.0,0.0
426,2020-03-27,Rajasthan,50,0,0,0,,7.0,0.0,0.0
454,2020-03-28,Rajasthan,54,0,0,0,,4.0,0.0,0.0
482,2020-03-29,Rajasthan,59,3,0,0,,5.0,0.0,3.0
