,Date,State,Confirmed,Recovered,Deceased,Other,Tested,New_Confirmerd,New_Deaths,New_Recovered
23,2020-03-04,Uttar Pradesh,7,0,0,0,,,,
30,2020-03-05,Uttar Pradesh,8,0,0,0,,1.0,0.0,0.0
37,2020-03-06,Uttar Pradesh,8,0,0,0,,0.0,0.0,0.0
46,2020-03-07,Uttar Pradesh,8,0,0,0,,0.0,0.0,0.0
55,2020-03-08,Uttar Pradesh,8,0,0,0,,0.0,0.0,0.0
68,2020-03-09,Uttar Pradesh,10,0,0,0,,2.0,0.0,0.0
81,2020-03-10,Uttar Pradesh,10,0,0,0,,0.0,0.0,0.0
94,2020-03-11,Uttar Pradesh,10,0,0,0,,0.0,0.0,0.0
108,2020-03-12,Uttar Pradesh,12,0,0,0,,2.0,0.0,0.0
122,2020-03-13,Uttar Pradesh,13,0,0,0,,1.0,0.0,0.0
137,2020-03-14,Uttar Pradesh,13,0,0,0,,0.0,0.0,0.0
152,2020-03-15,Uttar Pradesh,13,0,0,0,,0.0,0.0,0.0
169,2020-03-16,Uttar Pradesh,13,0,0,0,,0.0,0.0,0.0
187,2020-03-17,Uttar Pradesh,15,0,0,0,,2.0,0.0,0.0
206,2020-03-18,Uttar Pradesh,17,0,0,0,,2.0,0.0,0.0
228,2020-03-19,Uttar Pradesh,20,0,0,0,,3.0,0.0,0.0
251,2020-03-20,Uttar Pradesh,24,0,0,0,,4.0,0.0,0.0
274,2020-03-21,Uttar Pradesh,28,0,0,0,,4.0,0.0,0.0
298,2020-03-22,Uttar Pradesh,30,0,0,0,,2.0,0.0,0.0
322,2020-03-23,Uttar Pradesh,34,0,0,0,,4.0,0.0,0.0
347,2020-03-24,Uttar Pradesh,35,0,0,0,,1.0,0.0,0.0
374,2020-03-25,Uttar Pradesh,38,0,0,0,,3.0,0.0,0.0
402,2020-03-26,Uttar Pradesh,42,0,0,0,,4.0,0.0,0.0
430,2020-03-27,Uttar Pradesh,49,0,0,0,,7.0,0.0,0.0
458,2020-03-28,Uttar Pradesh,65,0,0,0,,16.0,0.0,0.0
486,2020-03-29,Uttar Pradesh,72,11,0,0,,7.0,0.0,11.0
514,2020-03-30,Uttar Pradesh,96,17,0,0,,24.0,0.0,6.0
544,2020-03-31,Uttar Pradesh,104,17,0,0,,8.0,0.0,0.0
574,2020-04-01,Uttar Pradesh,117,17,2,0,,13.0,2.0,0.0
