,Date,State,Confirmed,Recovered,Deceased,Other,Tested,New_Confirmerd,New_Deaths,New_Recovered
189,2020-03-17,West Bengal,1,0,0,0,,,,
208,2020-03-18,West Bengal,1,0,0,0,,0.0,0.0,0.0
230,2020-03-19,West Bengal,1,0,0,0,,0.0,0.0,0.0
253,2020-03-20,West Bengal,2,0,0,0,,1.0,0.0,0.0
276,2020-03-21,West Bengal,4,0,0,0,,2.0,0.0,0.0
300,2020-03-22,West Bengal,7,0,0,0,,3.0,0.0,0.0
324,2020-03-23,West Bengal,7,0,0,0,,0.0,0.0,0.0
349,2020-03-24,West Bengal,9,0,0,0,,2.0,0.0,0.0
376,2020-03-25,West Bengal,9,0,0,0,,0.0,0.0,0.0
404,2020-03-26,West Bengal,10,0,0,0,,1.0,0.0,0.0
432,2020-03-27,West Bengal,15,0,0,0,,5.0,0.0,0.0
460,2020-03-28,West Bengal,18,0,0,0,,3.0,0.0,0.0
488,2020-03-29,West Bengal,21,0,1,0,,3.0,1.0,0.0
516,2020-03-30,West Bengal,22,0,2,0,,1.0,1.0,0.0
546,2020-03-31,West Bengal,37,3,3,0,,15.0,1.0,3.0
576,2020-04-01,West Bengal,37,3,3,0,659.0,0.0,0.0,0.0
607,2020-04-02,West Bengal,53,3,3,0,659.0,16.0,0.0,0.0
638,2020-04-03,West Bengal,53,3,3,0,659.0,0.0,0.0,0.0
669,2020-04-04,West Bengal,53,3,3,0,1042.0,0.0,0.0,0.0
700,2020-04-05,West Bengal,80,10,3,0,1042.0,27.0,0.0,7.0
733,2020-04-06,West Bengal,80,10,3,0,1301.0,0.0,0.0,0.0
766,2020-04-07,West Bengal,91,13,3,0,1487.0,11.0,0.0,3.0
799,2020-04-08,West Bengal,99,13,5,0,1487.0,8.0,2.0,0.0
833,2020-04-09,West Bengal,103,16,5,0,1889.0,4.0,0.0,3.0
867,2020-04-10,West Bengal,116,16,5,0,2095.0,13.0,0.0,0.0
901,2020-04-11,West Bengal,126,16,5,0,2286.0,10.0,0.0,0.0
935,2020-04-12,West Bengal,134,19,7,0,2523.0,8.0,2.0,3.0
970,2020-04-13,West Bengal,152,29,7,0,2793.0,18.0,0.0,10.0
1005,2020-04-14,West Bengal,190,36,7,0,3081.0,38.0,0.0,7.0
1040,2020-04-15,West Bengal,213,37,7,0,3470.0,23.0,0.0,1.0
1075,2020-04-16,West Bengal,231,42,10,0,3811.0,18.0,3.0,5.0
1110,2020-04-17,West Bengal,255,51,10,0,4212.0,24.0,0.0,9.0
1145,2020-04-18,West Bengal,287,55,12,0,4630.0,32.0,2.0,4.0
1180,2020-04-19,West Bengal,310,62,12,0,5045.0,23.0,0.0,7.0
1215,2020-04-20,West Bengal,339,66,12,0,5469.0,29.0,0.0,4.0
1250,2020-04-21,West Bengal,392,73,15,0,6182.0,53.0,3.0,7.0
1285,2020-04-22,West Bengal,423,73,15,0,7037.0,31.0,0.0,0.0
