,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
0,Maharashtra,1,5,1,1,0.08850818127393723,0.09689922645110491,0.6437011293002832
1,Maharashtra,1,5,1,5,0.4859788119792938,0.5053455880773137,-8.6906025765521
2,Maharashtra,1,5,1,8,0.012539833784103394,0.014913631531240854,0.9915600355036975
3,Maharashtra,1,5,1,16,0.016857529059052467,0.01913673899089446,0.9861033632709697
4,Maharashtra,1,5,1,32,0.04790395870804787,0.053389393069104556,0.8918357426374055
5,Maharashtra,1,7,1,1,0.49117934703826904,0.5104442186769351,-9.75757917080296
6,Maharashtra,1,7,1,5,0.045123301446437836,0.05391270065066298,0.879994783728292
7,Maharashtra,1,7,1,8,0.036181483417749405,0.039288722568629794,0.9362685614111267
8,Maharashtra,1,7,1,16,0.05740495026111603,0.0586335742241457,0.8580580899985886
9,Maharashtra,1,7,1,32,0.02691488526761532,0.027239600086260193,0.9693648948801399
10,Maharashtra,1,15,1,1,0.49812066555023193,0.5102693254249215,-14.94136163604836
11,Maharashtra,1,15,1,5,0.029378753155469894,0.03587933827691954,0.9211838374423578
12,Maharashtra,1,15,1,8,0.11292556673288345,0.11370983112757527,0.20836950832707968
13,Maharashtra,1,15,1,16,0.08826941251754761,0.09865228064245586,0.40414478027418876
14,Maharashtra,1,15,1,32,0.05184001103043556,0.062341881206535124,0.7620496945084761
15,Maharashtra,2,5,1,1,0.3921843469142914,0.4193481073981081,-5.673031501303388
16,Maharashtra,2,5,1,5,0.19275084137916565,0.20017341866216998,-0.5205008043899304
17,Maharashtra,2,5,1,8,0.17729215323925018,0.18471770481710323,-0.2947647207756099
18,Maharashtra,2,5,1,16,0.14078152179718018,0.14547402034312645,0.19694600185276456
19,Maharashtra,2,5,1,32,0.09758409857749939,0.09880350940967515,0.6295594251842906
20,Maharashtra,2,7,1,1,0.3566575050354004,0.3837940322515379,-5.081551779013954
21,Maharashtra,2,7,1,5,0.1780921369791031,0.1854499965528877,-0.41994533602531225
22,Maharashtra,2,7,1,8,0.21079345047473907,0.21730369745934489,-0.9496299155723846
23,Maharashtra,2,7,1,16,0.13882838189601898,0.14144912933703274,0.1739268276453586
24,Maharashtra,2,7,1,32,0.1097116693854332,0.11207759536342542,0.48137248411701317
25,Maharashtra,2,15,1,1,0.3026500940322876,0.3260255931004068,-5.507735252833103
26,Maharashtra,2,15,1,5,0.12016664445400238,0.12050696454607668,0.11089963301262762
27,Maharashtra,2,15,1,8,0.2167321890592575,0.21909322378987434,-1.938897021042167
28,Maharashtra,2,15,1,16,0.19621969759464264,0.19764458731217693,-1.391642925115888
29,Maharashtra,2,15,1,32,0.1446777582168579,0.1453104857335922,-0.292767512286253
30,Maharashtra,3,5,1,1,0.396347314119339,0.4150531542012614,-5.537042260457023
31,Maharashtra,3,5,1,5,0.19435356557369232,0.2017125299530423,-0.543972592553255
32,Maharashtra,3,5,1,8,0.1665949821472168,0.1699014465066276,-0.09538811052374507
33,Maharashtra,3,5,1,16,0.08334703743457794,0.08547240079042505,0.7227793146208142
34,Maharashtra,3,5,1,32,0.14086569845676422,0.1426389577502609,0.22794161145318792
35,Maharashtra,3,7,1,1,0.3802696466445923,0.3949184028933186,-5.43921076191342
36,Maharashtra,3,7,1,5,0.1422794759273529,0.1444352707626861,0.13868008284602318
37,Maharashtra,3,7,1,8,0.23591449856758118,0.23957999199458427,-1.3698402809404895
38,Maharashtra,3,7,1,16,0.16263002157211304,0.16464965634330417,-0.11928235492876116
39,Maharashtra,3,7,1,32,0.15221495926380157,0.15413079196097262,0.019163019035807083
40,Maharashtra,3,15,1,1,0.18961049616336823,0.19064578974812282,-1.2252609282728328
41,Maharashtra,3,15,1,5,0.2201673984527588,0.22170936285017787,-2.0095017873969687
42,Maharashtra,3,15,1,8,0.2402089685201645,0.24222163759640647,-2.592132575887963
43,Maharashtra,3,15,1,16,0.2373170405626297,0.23916691980420537,-2.5021011714175185
44,Maharashtra,3,15,1,32,0.17135688662528992,0.1727604437281676,-0.8273221491988758
45,Maharashtra,4,5,1,1,0.3303534686565399,0.35353923950568533,-3.742955801814084
46,Maharashtra,4,5,1,5,0.18098795413970947,0.1966067727329091,-0.4667996384912174
47,Maharashtra,4,5,1,8,0.20113927125930786,0.21181148032637762,-0.7024438223317706
48,Maharashtra,4,5,1,16,0.1499280035495758,0.15238181885662053,0.11886972571020127
49,Maharashtra,4,5,1,32,0.09874965995550156,0.10133808357637271,0.6103100667212319
