,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
0,Maharashtra,1,5,2,1,0.11647805571556091,0.12874996218865958,0.3709747624539358
1,Maharashtra,1,5,2,2,0.05171922594308853,0.05830308823358162,0.8710097383285637
2,Maharashtra,1,5,2,3,0.12189056724309921,0.1284989583881443,0.3734250503095742
3,Maharashtra,1,5,2,4,0.09270408004522324,0.09761998933890384,0.6383809332371683
4,Maharashtra,1,5,3,1,0.10759074985980988,0.12295715527601399,0.42630450188472613
5,Maharashtra,1,5,3,2,0.056794606149196625,0.06635707198297072,0.8329108503435564
6,Maharashtra,1,5,3,3,0.10559723526239395,0.11284462460152805,0.5167904027773078
7,Maharashtra,1,5,3,4,0.102765753865242,0.10821257370963576,0.555645812711941
8,Maharashtra,1,5,4,1,0.16055040061473846,0.17010365551671047,-0.0979970319570278
9,Maharashtra,1,5,4,2,0.09089663624763489,0.09999825263731912,0.6205464267026028
10,Maharashtra,1,5,4,3,0.12938331067562103,0.13866224389815573,0.27039083593320956
11,Maharashtra,1,5,4,4,0.049394186586141586,0.056907123461429565,0.8771126735904476
12,Maharashtra,1,7,2,1,0.07529851794242859,0.08500318463404292,0.70167584572196
13,Maharashtra,1,7,2,2,0.14644461870193481,0.15189586727599064,0.04740151046047347
14,Maharashtra,1,7,2,3,0.12079289555549622,0.12747991279771878,0.32903252099069213
15,Maharashtra,1,7,2,4,0.21319031715393066,0.21911559888493906,-0.9822780164016285
16,Maharashtra,1,7,3,1,0.12808391451835632,0.13594481897930435,0.23696701194579284
17,Maharashtra,1,7,3,2,0.08971977978944778,0.09512774567488806,0.6263780392121512
18,Maharashtra,1,7,3,3,0.08689545840024948,0.09392693333862186,0.6357511476948956
19,Maharashtra,1,7,3,4,0.07306062430143356,0.0783932669511645,0.7462678335940747
20,Maharashtra,1,7,4,1,0.12153756618499756,0.1313600427962928,0.2875662616725322
21,Maharashtra,1,7,4,2,0.08328399062156677,0.09104504519074422,0.6577601035286449
22,Maharashtra,1,7,4,3,0.20902734994888306,0.21699432454400244,-0.9440828228615892
23,Maharashtra,1,7,4,4,0.12548165023326874,0.13385690931808025,0.2602252876179255
24,Maharashtra,1,15,2,1,0.16787590086460114,0.1721954230772056,-0.8153890978966976
25,Maharashtra,1,15,2,2,0.12763553857803345,0.1305099562143773,-0.04283067435394727
26,Maharashtra,1,15,2,3,0.16407181322574615,0.16712000344474498,-0.7099497219041091
27,Maharashtra,1,15,2,4,0.041513729840517044,0.043229277784901786,0.8855851376896869
28,Maharashtra,1,15,3,1,0.1518067866563797,0.15648870711631568,-0.49931357909217966
29,Maharashtra,1,15,3,2,0.03453537076711655,0.0382478478858048,0.9104345594491338
30,Maharashtra,1,15,3,3,0.10433545708656311,0.10822424338236655,0.28290679148171116
31,Maharashtra,1,15,3,4,0.18565352261066437,0.18936628140627335,-1.1954915917665976
32,Maharashtra,1,15,4,1,0.37109988927841187,0.3785691482290187,-7.774389969048862
33,Maharashtra,1,15,4,2,0.15712134540081024,0.15986548173493353,-0.5647174003529716
34,Maharashtra,1,15,4,3,0.1683531105518341,0.1728481680326621,-0.8291783655435312
35,Maharashtra,1,15,4,4,0.14497385919094086,0.14960316303992074,-0.37027590297120394
36,Maharashtra,1,30,2,1,0.04091417416930199,0.046116925228477525,0.6309912221104415
37,Maharashtra,1,30,2,2,0.00567838316783309,0.006385460540163256,0.9929254236009429
38,Maharashtra,1,30,2,3,0.17652545869350433,0.18048926480432617,-4.652215532360291
39,Maharashtra,1,30,2,4,0.16918641328811646,0.17303134706462434,-4.194759459761692
40,Maharashtra,1,30,3,1,0.1600983440876007,0.1626578840912042,-3.5905652271349426
41,Maharashtra,1,30,3,2,0.11877238005399704,0.12164895770271802,-1.56763146069007
42,Maharashtra,1,30,3,3,0.06307736784219742,0.06586319095557193,0.2473354505138462
43,Maharashtra,1,30,3,4,0.059082917869091034,0.060830237669650566,0.35797051739134034
44,Maharashtra,1,30,4,1,0.33311954140663147,0.33787517843054754,-18.807445933327152
45,Maharashtra,1,30,4,2,0.17072036862373352,0.17443370879313322,-4.279305211782174
46,Maharashtra,1,30,4,3,0.15538659691810608,0.15875855419060209,-3.373107790576893
47,Maharashtra,1,30,4,4,0.0516267865896225,0.055990121620754785,0.45607534354065304
48,Maharashtra,2,5,2,1,0.1811814159154892,0.1896679142419711,-0.3650907622927888
49,Maharashtra,2,5,2,2,0.1066061332821846,0.11287944335735789,0.5164921597629757
50,Maharashtra,2,5,2,3,0.09352973103523254,0.09810506207341775,0.6347782455900106
51,Maharashtra,2,5,2,4,0.12794174253940582,0.1336009659407797,0.32268141619568724
52,Maharashtra,2,5,3,1,0.1652906984090805,0.17176529786259132,-0.11955313443595528
53,Maharashtra,2,5,3,2,0.05175817012786865,0.05982769216267329,0.8641754314168031
54,Maharashtra,2,5,3,3,0.11468453705310822,0.12242570260666959,0.43125309470665474
55,Maharashtra,2,5,3,4,0.11525502800941467,0.1239590214728908,0.4169173548242505
56,Maharashtra,2,5,4,1,0.14905184507369995,0.15729018517505977,0.061191320806101235
57,Maharashtra,2,5,4,2,0.11571712791919708,0.12302202397636246,0.4256990283197407
58,Maharashtra,2,5,4,3,0.21367381513118744,0.22198976349266547,-0.8699919387406876
59,Maharashtra,2,5,4,4,0.11914357542991638,0.12497214662648704,0.4073473057646845
60,Maharashtra,2,7,2,1,0.154251828789711,0.1611992438964765,-0.07286221608789623
61,Maharashtra,2,7,2,2,0.09089844673871994,0.0974160100399716,0.6081871449181772
62,Maharashtra,2,7,2,3,0.23188349604606628,0.24453084659238453,-1.4687964395979063
63,Maharashtra,2,7,2,4,0.23236936330795288,0.23930320309184222,-1.3643673673600847
64,Maharashtra,2,7,3,1,0.17241421341896057,0.17842451186937136,-0.31439846071347244
65,Maharashtra,2,7,3,2,0.19063204526901245,0.1978166268808604,-0.61563608326284
66,Maharashtra,2,7,3,3,0.11159946769475937,0.11964446764570688,0.4089786578099337
67,Maharashtra,2,7,3,4,0.11256486177444458,0.11964530053978539,0.4089703624776001
68,Maharashtra,2,7,4,1,0.21807502210140228,0.22702922103405762,-1.1280479351989467
69,Maharashtra,2,7,4,2,0.0520431213080883,0.05995175309931746,0.8516041504134302
70,Maharashtra,2,7,4,3,0.14367073774337769,0.1522632288267178,0.04278824590768282
71,Maharashtra,2,7,4,4,0.06440902501344681,0.07224529212286232,0.7845050582364737
72,Maharashtra,2,15,2,1,0.09692452847957611,0.10309061033319393,0.34932409189310687
73,Maharashtra,2,15,2,2,0.0282543133944273,0.0289731970524162,0.9486051884569778
74,Maharashtra,2,15,2,3,0.19335409998893738,0.19881212586071184,-1.4199823284161894
75,Maharashtra,2,15,2,4,0.11093709617853165,0.11503207909286037,0.18985189425409288
76,Maharashtra,2,15,3,1,0.17958714067935944,0.1877468490901279,-1.1581011210924679
77,Maharashtra,2,15,3,2,0.08181989192962646,0.08842335421047369,0.521303240147334
78,Maharashtra,2,15,3,3,0.09911512583494186,0.10353675212828338,0.34368005155533543
79,Maharashtra,2,15,3,4,0.10147067159414291,0.10828194071671891,0.2821419609559287
80,Maharashtra,2,15,4,1,0.08914349973201752,0.0919789223714517,0.4820317352983654
81,Maharashtra,2,15,4,2,0.04132240265607834,0.04842018185089855,0.8564578960104905
82,Maharashtra,2,15,4,3,0.1434582620859146,0.1497490935138975,-0.37295052225253755
83,Maharashtra,2,15,4,4,0.04343767091631889,0.05244100169162522,0.83162854923308
84,Maharashtra,2,30,2,1,0.10634421557188034,0.10764807813354502,-1.0106128804693153
85,Maharashtra,2,30,2,2,0.12375091016292572,0.1308814499867859,-1.9721597843617507
86,Maharashtra,2,30,2,3,0.013040208257734776,0.01589932780004882,0.9561395119146646
87,Maharashtra,2,30,2,4,0.08266255259513855,0.08594322456453493,-0.28156088439336213
88,Maharashtra,2,30,3,1,0.11693545430898666,0.12379643173046935,-1.6590848666033384
89,Maharashtra,2,30,3,2,0.1318242847919464,0.1356641970742808,-2.193349058058767
90,Maharashtra,2,30,3,3,0.12026520818471909,0.12548413993443885,-1.7320811455910667
91,Maharashtra,2,30,3,4,0.06515626609325409,0.07973408354235557,-0.103072229327551
92,Maharashtra,2,30,4,1,0.05004841461777687,0.05206754738276026,0.5296185044288042
93,Maharashtra,2,30,4,2,0.23172208666801453,0.23816556936634808,-8.841785243375496
94,Maharashtra,2,30,4,3,0.22850196063518524,0.2325688546524044,-8.384670203863323
95,Maharashtra,2,30,4,4,0.06499430537223816,0.07251979938275663,0.08750795718743676
96,Maharashtra,3,5,2,1,0.22577953338623047,0.2347018744032403,-1.090291975962422
97,Maharashtra,3,5,2,2,0.13051293790340424,0.1356812758966416,0.30142398980407925
98,Maharashtra,3,5,2,3,0.1681058257818222,0.17298269954762782,-0.13547915575203584
99,Maharashtra,3,5,2,4,0.20872332155704498,0.21346020404650715,-0.7290503155665149
100,Maharashtra,3,5,3,1,0.20980867743492126,0.21743361298501543,-0.7940197012476349
101,Maharashtra,3,5,3,2,0.12048261612653732,0.12648605109948566,0.39290161662249146
102,Maharashtra,3,5,3,3,0.17198336124420166,0.17915420590546574,-0.21794543704632696
