,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
0,Karnataka,1,5,2,1,0.17734041810035706,0.17996508469966746,-0.7292414583522189
1,Karnataka,1,5,2,2,0.14837871491909027,0.1497894694669421,-0.19795807393314813
2,Karnataka,1,5,2,3,0.07015779614448547,0.0725351764324143,0.7190840375287999
3,Karnataka,1,5,2,4,0.128084197640419,0.13198537480998615,0.06989773102133201
4,Karnataka,1,5,3,1,0.23457933962345123,0.23736128112608187,-2.008145431361298
5,Karnataka,1,5,3,2,0.02929091453552246,0.03435863754325443,0.9369694688784052
6,Karnataka,1,5,3,3,0.1625651866197586,0.1642425661574864,-0.4402919191708565
7,Karnataka,1,5,3,4,0.05314470827579498,0.05997299669504919,0.8079604778164249
8,Karnataka,1,5,4,1,0.05574393272399902,0.06146673208099157,0.7982752023921101
9,Karnataka,1,5,4,2,0.1196160614490509,0.12832110708098102,0.12082512204360152
10,Karnataka,1,5,4,3,0.04753299057483673,0.05662794217803858,0.8287854388489209
11,Karnataka,1,5,4,4,0.0873146504163742,0.09367954567147797,0.5314363120320764
12,Karnataka,1,7,2,1,0.11222289502620697,0.11649855515884648,-0.14024974190082662
13,Karnataka,1,7,2,2,0.1141192764043808,0.11587963643463636,-0.128166297348566
14,Karnataka,1,7,2,3,0.060528095811605453,0.06818744632695234,0.6093680722170987
15,Karnataka,1,7,2,4,0.036780014634132385,0.04689868934385162,0.8152092061214545
16,Karnataka,1,7,3,1,0.18716922402381897,0.18815711230524076,-1.9744055784059817
17,Karnataka,1,7,3,2,0.17192880809307098,0.17339986379904332,-1.526134079371475
18,Karnataka,1,7,3,3,0.02620552107691765,0.030614186912395383,0.9212583771517165
19,Karnataka,1,7,3,4,0.024450819939374924,0.0285947925883703,0.931303788130565
20,Karnataka,1,7,4,1,0.11086629331111908,0.11756162527662413,-0.16115460726936548
21,Karnataka,1,7,4,2,0.12152039259672165,0.12340859575715529,-0.27952775224483384
22,Karnataka,1,7,4,3,0.03744626045227051,0.043508582131655725,0.840959132465753
23,Karnataka,1,7,4,4,0.11883963644504547,0.12019167893043528,-0.2136897893389067
