,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
0,Maharashtra,1,5,1,1,0.6057656407356262,0.6294691990019988,-14.035670502737007
1,Maharashtra,1,5,1,5,0.5873284935951233,0.6116790008297457,-13.197797040928275
2,Maharashtra,1,5,1,8,0.14629749953746796,0.16523507007605992,-0.036044212019440185
3,Maharashtra,1,5,1,16,0.026706896722316745,0.03144536751392836,0.9624779010246022
4,Maharashtra,1,5,1,32,0.19944272935390472,0.2193998832936181,-0.8266131170205839
5,Maharashtra,1,5,2,1,0.575604259967804,0.5980577055525337,-12.572504856940553
6,Maharashtra,1,5,2,5,0.572148859500885,0.5947459050182269,-12.422602937090875
7,Maharashtra,1,5,2,8,0.16821859776973724,0.18339478079793425,-0.2762851333582701
8,Maharashtra,1,5,2,16,0.4447536468505859,0.4656026239587068,-7.226302217080168
9,Maharashtra,1,5,2,32,0.3937563896179199,0.4132672356174596,-5.480906854497503
10,Maharashtra,1,7,1,1,0.6048760414123535,0.6267625988628616,-15.218999976699571
11,Maharashtra,1,7,1,5,0.5880712270736694,0.6103168447157231,-14.379020050793473
12,Maharashtra,1,7,1,8,0.13289685547351834,0.15206118813280828,0.045326930626051636
13,Maharashtra,1,7,1,16,0.004071961157023907,0.0051243163605900225,0.9989158487594878
14,Maharashtra,1,7,1,32,0.18254299461841586,0.2000079883529816,-0.6516295500658271
15,Maharashtra,1,7,2,1,0.5785024762153625,0.5990706020676939,-13.81746666062042
16,Maharashtra,1,7,2,5,0.5764322280883789,0.5971183101190664,-13.721048730133033
17,Maharashtra,1,7,2,8,0.13564996421337128,0.14161155928478522,0.17202857589202947
18,Maharashtra,1,7,2,16,0.3825388252735138,0.40153924822747816,-5.65692915161466
19,Maharashtra,1,7,2,32,0.25874263048172,0.2747262421151436,-2.116149807192276
20,Maharashtra,1,15,1,1,0.5876507163047789,0.602165044257967,-21.200235184993392
21,Maharashtra,1,15,1,5,0.5986443758010864,0.6132998615526596,-22.02884868516251
22,Maharashtra,1,15,1,8,0.12332943081855775,0.13845401763326914,-0.17364735590157146
23,Maharashtra,1,15,1,16,0.010373151861131193,0.010617705323403408,0.9930977952940324
24,Maharashtra,1,15,1,32,0.17893485724925995,0.19049064443110575,-1.221640485852992
25,Maharashtra,1,15,2,1,0.5944915413856506,0.6080736055445122,-21.638037669888504
26,Maharashtra,1,15,2,5,0.5951979756355286,0.6088517705926229,-21.696016486875987
27,Maharashtra,1,15,2,8,0.06841052323579787,0.07279113162818404,0.6755981218535864
28,Maharashtra,1,15,2,16,0.2845267057418823,0.2967763787141244,-4.392437953000378
29,Maharashtra,1,15,2,32,0.1836015433073044,0.19194868648553612,-1.2557803958610665
30,Maharashtra,2,5,1,1,0.4589943587779999,0.4770790177640113,-7.636831408863295
