,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
0,Karnataka,1,5,1,1,0.3280068039894104,0.3554120490156927,-5.7444016866547125
1,Karnataka,1,5,1,5,0.680659830570221,0.6941290438517242,-24.725243332165356
2,Karnataka,1,5,1,8,0.5593271255493164,0.5708535123539431,-16.399166442919647
3,Karnataka,1,5,1,16,0.5980320572853088,0.6103681394233259,-18.891284142893614
4,Karnataka,1,5,1,32,0.12846805155277252,0.1396827655561689,-0.0417529755427235
5,Karnataka,1,5,2,1,0.1169324591755867,0.13979258800161284,-0.04339160322097224
6,Karnataka,1,5,2,5,0.7161518335342407,0.7295813652794867,-27.4201637952476
7,Karnataka,1,5,2,8,0.6480715274810791,0.6603400747568712,-22.281681728140207
8,Karnataka,1,5,2,16,0.4931035339832306,0.5082495935703948,-12.792188628372873
9,Karnataka,1,5,2,32,0.11024592071771622,0.11813712798281911,0.254835964180707
10,Karnataka,1,7,1,1,0.650974690914154,0.6575424999382216,-35.3250792007698
11,Karnataka,1,7,1,5,0.8073192238807678,0.8146575744306749,-54.75824522292459
12,Karnataka,1,7,1,8,0.6239527463912964,0.6313234163780684,-32.485958059264675
13,Karnataka,1,7,1,16,0.406408429145813,0.4160606288297665,-13.543608626539587
14,Karnataka,1,7,1,32,0.32122567296028137,0.3236485143062826,-7.800475788428965
15,Karnataka,1,7,2,1,0.1880902498960495,0.2174190323123288,-2.971494842752756
16,Karnataka,1,7,2,5,0.6417680978775024,0.6487109055986832,-34.3558547372641
17,Karnataka,1,7,2,8,0.5991278886795044,0.6057630746479716,-29.829357090557284
18,Karnataka,1,7,2,16,0.09492743015289307,0.10389860849318376,0.09306046131759249
19,Karnataka,1,7,2,32,0.10751736909151077,0.11282070859172925,-0.06939098438962654
20,Karnataka,2,5,1,1,0.48111215233802795,0.4977576070239684,-12.228631234957971
21,Karnataka,2,5,1,5,0.7202132344245911,0.7344873626458001,-27.803667805353808
22,Karnataka,2,5,1,8,0.4510387182235718,0.4587282967955568,-10.235441161673277
23,Karnataka,2,5,1,16,0.5615729093551636,0.5723222828181306,-16.488814796394347
24,Karnataka,2,5,1,32,0.0634889155626297,0.07675267668278965,0.6854670503652938
25,Karnataka,2,5,2,1,1.1053799390792847,1.1138197817707014,-65.23826632494351
26,Karnataka,2,5,2,5,0.3309469521045685,0.35093015386241777,-5.575373291985801
27,Karnataka,2,5,2,8,0.33298835158348083,0.3397563186076192,-5.163311843488651
28,Karnataka,2,5,2,16,0.06390757858753204,0.06892722516643161,0.7463349079145172
29,Karnataka,2,5,2,32,0.06533462554216385,0.06986927366165405,0.7393537009660469
30,Karnataka,2,7,1,1,0.11169075220823288,0.13648949884798633,-0.5651551259097551
31,Karnataka,2,7,1,5,0.6903291344642639,0.6990445735237563,-40.05524418618528
32,Karnataka,2,7,1,8,0.5277335047721863,0.5322030718457788,-22.796530163687002
33,Karnataka,2,7,1,16,0.044086892157793045,0.04987488969378953,0.7910112843893925
34,Karnataka,2,7,1,32,0.03916428983211517,0.04838462643308255,0.8033138910406644
