,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
0,Maharashtra,1,5,1,1,0.33196914196014404,0.3499771613094557,-3.647862209120885
1,Maharashtra,1,5,1,5,0.3059357702732086,0.3204058650647062,-2.8956034523076406
2,Maharashtra,1,5,1,8,0.5388150811195374,0.5613901792880847,-10.959235769537065
3,Maharashtra,1,5,1,16,0.41485846042633057,0.4323453544308444,-6.093089359027721
4,Maharashtra,1,5,1,32,0.44343045353889465,0.46217169643720935,-7.105512939918643
5,Maharashtra,1,5,1,64,0.40559929609298706,0.42288748784560376,-5.7861505399050825
6,Maharashtra,1,5,2,1,0.5752755999565125,0.5977078085208192,-12.556627732762474
7,Maharashtra,1,5,2,5,0.5608366131782532,0.5833423619479878,-11.912813318602565
8,Maharashtra,1,5,2,8,0.5631752610206604,0.5852673831217404,-11.998177560727743
9,Maharashtra,1,5,2,16,0.5511860251426697,0.5739975068373815,-11.502413403548855
10,Maharashtra,1,5,2,32,0.5432822704315186,0.5659787373340069,-11.155533676521532
11,Maharashtra,1,5,2,64,0.5622790455818176,0.5849775716362108,-11.985308381303247
12,Maharashtra,1,5,3,1,0.5746310949325562,0.5971168876753306,-12.529835737203936
13,Maharashtra,1,5,3,5,0.5680793523788452,0.5908571342154411,-12.247649589759007
14,Maharashtra,1,5,3,8,0.5572370290756226,0.5803973671314482,-11.78276136092687
15,Maharashtra,1,5,3,16,0.5635350942611694,0.5863600415330634,-12.046756909600145
16,Maharashtra,1,5,3,32,0.5684419870376587,0.591134181867095,-12.260073919341696
17,Maharashtra,1,5,3,64,0.5643388628959656,0.5872105565196053,-12.084633356816834
18,Maharashtra,1,7,1,1,0.5845575332641602,0.6058703413560502,-14.155746412549112
19,Maharashtra,1,7,1,5,0.1277809888124466,0.13579812029565058,0.2386128668226074
20,Maharashtra,1,7,1,8,0.09702581912279129,0.10944309839452576,0.5054676535936897
21,Maharashtra,1,7,1,16,0.43132299184799194,0.4470184342734983,-7.2502826295418945
22,Maharashtra,1,7,1,32,0.31870603561401367,0.33112275990685697,-3.5268494289483536
23,Maharashtra,1,7,1,64,0.31564977765083313,0.3279544864113574,-3.44063535278901
24,Maharashtra,1,7,2,1,0.5894950032234192,0.610729912029733,-14.399845345576061
25,Maharashtra,1,7,2,5,0.5601938962936401,0.5813263586607291,-12.95269228727791
26,Maharashtra,1,7,2,8,0.5707412958145142,0.5915348492672634,-13.447032946855124
27,Maharashtra,1,7,2,16,0.538184404373169,0.5584544028022624,-11.876367364716026
28,Maharashtra,1,7,2,32,0.555280327796936,0.5757845077526007,-12.687934152115057
29,Maharashtra,1,7,2,64,0.5515791773796082,0.5720152323401932,-12.509309577461465
30,Maharashtra,1,7,3,1,0.5785020589828491,0.5990674679609371,-13.817311896089942
31,Maharashtra,1,7,3,5,0.5740309357643127,0.5948053066696118,-13.607221849380547
32,Maharashtra,1,7,3,8,0.5701626539230347,0.5909759568682761,-13.419745360602924
33,Maharashtra,1,7,3,16,0.5681940317153931,0.5890138358092442,-13.324155278618003
34,Maharashtra,1,7,3,32,0.5664956569671631,0.5874168032723903,-13.24658380665402
35,Maharashtra,1,7,3,64,0.5635270476341248,0.5844692144077465,-13.10396586577085
36,Maharashtra,1,15,1,1,0.5434412956237793,0.5571005276566052,-18.00175094745296
37,Maharashtra,1,15,1,5,0.043620072305202484,0.05194824427072123,0.8347778633223838
38,Maharashtra,1,15,1,8,0.18844430148601532,0.1920849483857211,-1.258984180498143
39,Maharashtra,1,15,1,16,0.04447746276855469,0.05352612039228285,0.8245885140556284
40,Maharashtra,1,15,1,32,0.018695205450057983,0.020212584463737315,0.9749867483392809
41,Maharashtra,1,15,1,64,0.06028681620955467,0.064217943937111,0.7475128614790194
42,Maharashtra,1,15,2,1,0.5911790728569031,0.6049538176225903,-21.406340826257598
43,Maharashtra,1,15,2,5,0.5688990354537964,0.5823170517066656,-19.76086821114046
44,Maharashtra,1,15,2,8,0.5893555879592896,0.6031203966508617,-21.27073314425979
45,Maharashtra,1,15,2,16,0.5291787981987,0.5418543734909114,-16.97594289130962
46,Maharashtra,1,15,2,32,0.5201649069786072,0.5322689214526234,-16.345575803871842
47,Maharashtra,1,15,2,64,0.559118926525116,0.5724695773141363,-19.06464032284683
48,Maharashtra,1,15,3,1,0.5593903660774231,0.5738009535327168,-19.1580726309253
49,Maharashtra,1,15,3,5,0.5759501457214355,0.5896256909021661,-20.285276561367084
50,Maharashtra,1,15,3,8,0.5589408278465271,0.5732079516817614,-19.116430062864495
