,State,Number_feature,Time_Step,number_layers,MAE,RMSE,R2_Score
0,Maharashtra,1,5,1,0.14426535367965698,0.1556132933798118,0.08110207142784154
1,Maharashtra,1,5,2,0.10514479130506517,0.11151117618185724,0.528142741227102
2,Maharashtra,1,7,1,0.1544465273618698,0.16532579039563985,-0.1284937090488647
3,Maharashtra,1,7,2,0.0923132672905922,0.09615311610880056,0.6182801945167157
4,Maharashtra,1,15,1,0.16030022501945496,0.16760361706525248,-0.7198608138344345
5,Maharashtra,1,15,2,0.0397898405790329,0.04118759428620943,0.8961373755884694
6,Maharashtra,1,30,1,0.1819912940263748,0.18768722405605498,-5.112027906073584
7,Maharashtra,1,30,2,0.06936996430158615,0.07179716381537922,0.1056026672856938
8,Maharashtra,2,5,1,0.15072230994701385,0.16221737997997338,0.001452816565711168
9,Maharashtra,2,5,2,0.09192276000976562,0.09813622301909766,0.6345461841550908
10,Maharashtra,2,7,1,0.14802248775959015,0.15904943718885592,-0.04443707309077194
11,Maharashtra,2,7,2,0.13051044940948486,0.13920274049476944,0.19995663810062747
12,Maharashtra,2,15,1,0.1710624247789383,0.17911006570346916,-0.9641129905819046
13,Maharashtra,2,15,2,0.09486676007509233,0.09765281671210913,0.41615709897849984
14,Maharashtra,2,30,1,0.14743930101394653,0.15325647592357944,-3.0752437051274435
15,Maharashtra,2,30,2,0.0716724768280983,0.07463786407616532,0.03342787733007202
16,Maharashtra,3,5,1,0.18251432478427887,0.19007395260359333,-0.3709418357769201
17,Maharashtra,3,5,2,0.18580588698387146,0.192474972488222,-0.4057961022017347
18,Maharashtra,3,7,1,0.17095662653446198,0.17894557495697502,-0.3220864100029193
19,Maharashtra,3,7,2,0.12569497525691986,0.12815794346789755,0.32187610345922224
20,Maharashtra,3,15,1,0.15011733770370486,0.1569105787795034,-0.507408527621934
21,Maharashtra,3,15,2,0.22683916985988614,0.22887553702270075,-2.207193897758744
22,Maharashtra,3,30,1,0.10385934263467787,0.1104379585793068,-1.1161805373953024
23,Maharashtra,3,30,2,0.02399529702961445,0.026345062686698888,0.8795756294828591
24,Maharashtra,4,5,1,0.14376479387283325,0.15857169697966192,0.04583130203970387
25,Maharashtra,4,5,2,0.101325660943985,0.11307566584582507,0.5148096291970103
26,Maharashtra,4,7,1,0.14315015077590942,0.1569048866550071,-0.0164615094380669
27,Maharashtra,4,7,2,0.1449592262506485,0.1531408985311811,0.0317214285884414
28,Maharashtra,4,15,1,0.10030651837587357,0.11489625398824585,0.19176389193628152
29,Maharashtra,4,15,2,0.17870207130908966,0.1873627398668093,-1.1492797760237363
30,Maharashtra,4,30,1,0.05876627191901208,0.065340468798396,0.2592351033003546
31,Maharashtra,4,30,2,0.14398176968097687,0.15111002457674053,-2.9618907009283735
32,Maharashtra,5,5,1,0.17431697249412534,0.19323541540305494,-0.4169264086438365
33,Maharashtra,5,5,2,0.16939407587051392,0.18621839175099425,-0.3158881022173625
34,Maharashtra,5,7,1,0.13734501600265506,0.15748981093759384,-0.024054215908881904
35,Maharashtra,5,7,2,0.1952233910560608,0.20821764932897166,-0.7900000208856606
36,Maharashtra,5,15,1,0.25269225239753723,0.26472221556696085,-3.290494089031709
37,Maharashtra,5,15,2,0.16279171407222748,0.18220381436333274,-1.0325509820944865
38,Maharashtra,5,30,1,0.13263919949531555,0.1552350338642055,-3.181146617603831
39,Maharashtra,5,30,2,0.11935824900865555,0.1296155589274252,-1.9149442852370042
40,Maharashtra,6,5,1,0.15019407868385315,0.1690838526887314,-0.08487090311790868
41,Maharashtra,6,5,2,0.16714124381542206,0.1809689809659058,-0.24274527065850604
42,Maharashtra,6,7,1,0.158746138215065,0.17174986055040875,-0.2178975986996248
