,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio,New_Confirmerd,New_Deaths
4,California,US,2020-04-12 23:18:15,36.1162,-119.6816,22805,643,,22155.0,6.0,58.13772584,190328.0,5234.0,2.81202018,84000006.0,USA,485.42386849999997,22.9611757,2020-04-12,,,,
64,California,US,2020-04-13 23:07:54,36.1162,-119.6816,23956,713,,23217.0,6.0,61.035047905282056,190882.0,3015.0,2.9877564665078773,84000006.0,USA,486.83682312715933,12.59872132380594,2020-04-13,,,1151.0,70.0
123,California,US,2020-04-14 23:33:31,36.1162,-119.6816,25427,766,,24589.0,6.0,64.66945279,202208.0,5163.0,3.0288689069999997,84000006.0,USA,515.7233282,20.36204449,2020-04-14,,,1471.0,53.0
182,California,US,2020-04-15 22:56:51,36.1162,-119.6816,26719,866,,25826.0,6.0,68.06156401321954,216486.0,5163.0,3.2264108521322044,84000006.0,USA,552.13878988855,19.347223263134232,2020-04-15,,,1292.0,100.0
241,California,US,2020-04-16 23:30:51,36.1162,-119.6816,27687,962,,26721.0,6.0,70.58906944442319,246400.0,5031.0,3.4577446977634865,84000006.0,USA,628.4332373850444,18.177548144668854,2020-04-16,,,968.0,96.0
300,California,US,2020-04-17 23:30:52,36.1162,-119.6816,29470,1044,,28120.0,6.0,74.36374960404116,258800.0,4892.0,3.5566073327159864,84000006.0,USA,660.0589360196814,16.778132180951406,2020-04-17,,,1783.0,82.0
359,California,US,2020-04-18 22:32:47,36.1162,-119.6816,30785,1140,,29351.0,6.0,77.76606266683194,251614.0,4892.0,3.73880817290348,84000006.0,USA,641.7313335689958,16.044078580564758,2020-04-18,,,1315.0,96.0
418,California,US,2020-04-19 23:41:01,36.1162,-119.6816,31660,1178,,30254.0,6.0,80.1634946601028,280900.0,4731.0,3.744710635996309,84000006.0,USA,716.4240924572199,15.05201870764532,2020-04-19,,,875.0,38.0
477,California,US,2020-04-20 23:36:47,36.1162,-119.6816,33946,1223,,32461.0,6.0,85.91478098438557,290500.0,4674.0,3.6365255595796473,84000006.0,USA,740.9085043033904,13.875200379979816,2020-04-20,,,2286.0,45.0
536,California,US,2020-04-21 23:40:34,36.1162,-119.6816,35778,1278,,34183.0,6.0,90.45204855462906,300100.0,4886.0,3.614831524037784,84000006.0,USA,765.392916149561,13.776963203158045,2020-04-21,,,1832.0,55.0
595,California,US,2020-04-22 23:40:26,36.1162,-119.6816,37731,1425,,35923.0,6.0,95.24436208160348,465327.0,4984.0,3.805162810625536,84000006.0,USA,1186.7976990773966,13.346186803770351,2020-04-22,,,1953.0,147.0
654,California,US,2020-04-24 03:33:00,36.1162,-119.6816,39946,1530,,38028.0,6.0,100.89873094232848,482097.0,4929.0,3.875028437097141,84000006.0,USA,1229.568906021176,12.459240160764391,2020-04-23,,,2215.0,105.0
713,California,US,2020-04-25 06:32:46,36.1162,-119.6816,41803,1620,,39734.0,6.0,105.47425540608162,494173.0,4880.0,3.9197195018740176,84000006.0,USA,1260.3682557560044,11.800265989602226,2020-04-24,,,1857.0,90.0
772,California,US,2020-04-26 02:32:45,36.1162,-119.6816,42771,1689,,40679.0,6.0,108.05787094776608,506035.0,4847.0,3.986499244712991,84000006.0,USA,1290.6218071434294,11.440237915407856,2020-04-25,,,968.0,69.0
831,California,US,2020-04-27 02:32:46,36.1162,-119.6816,43887,1725,,41833.0,6.0,111.0929178328643,526084.0,4928.0,3.960236925478672,84000006.0,USA,1341.755971008416,11.313650764497911,2020-04-26,,,1116.0,36.0
890,California,US,2020-04-28 02:32:46,36.1162,-119.6816,45381,1779,,43187.0,6.0,114.68396490363598,553409.0,4878.0,3.956322554819197,84000006.0,USA,1411.4472786851466,10.848196415069165,2020-04-27,,,1494.0,54.0
949,California,US,2020-04-29 02:32:33,36.1162,-119.6816,46714,1861,,44300.0,6.0,117.7394154652727,577608.0,,4.037778355428474,84000006.0,USA,1473.1658497544672,,2020-04-28,,,1333.0,82.0
1008,California,US,2020-04-30 02:32:31,36.1162,-119.6816,49310,1946,,46801.0,6.0,124.32725252763296,603139.0,,3.992040535827846,84000006.0,USA,1538.2816329674445,,2020-04-29,,,2596.0,85.0
1067,California,US,2020-05-01 02:32:32,36.1162,-119.6816,50712,2029,0.0,48099.0,6.0,127.85453810922189,625337.0,,4.05146618791143,84000006.0,USA,1594.8967344425794,,2020-04-30,,,1402.0,83.0
1125,California,US,2020-05-02 02:32:31,36.1162,-119.6816,52536,2128,0.0,49900.0,6.0,132.6902094488406,654985.0,,4.08641832929689,84000006.0,USA,1670.5127596941693,,2020-05-01,,,1824.0,99.0
1183,California,US,2020-05-03 02:32:33,36.1162,-119.6816,53833,2181,0.0,51167.0,6.0,136.05936653725635,686803.0,,4.086452846458095,84000006.0,USA,1751.663282206821,,2020-05-02,,,1297.0,53.0
1241,California,US,2020-05-04 02:32:32,36.1162,-119.6816,55323,2218,0.0,52687.0,6.0,140.02788162398986,715751.0,,4.036209314609402,84000006.0,USA,1825.4939857612947,,2020-05-03,,,1490.0,37.0
1299,California,US,2020-05-05 02:32:38,36.1162,-119.6816,56419,2280,0.0,53606.0,6.0,142.5298824595204,747874.0,,4.076300909025839,84000006.0,USA,1907.422398441975,,2020-05-04,,,1096.0,62.0
1357,California,US,2020-05-06 02:32:35,36.1162,-119.6816,59039,2379,,56075.0,6.0,149.08966446664024,779902.0,,4.073149035171753,84000006.0,USA,1989.1085174637617,,2020-05-05,,,2620.0,99.0
1415,California,US,2020-05-07 02:32:32,36.1162,-119.6816,61245,2464,,58152.0,6.0,154.59865713202862,809036.0,,4.064933350930447,84000006.0,USA,2063.4136064977547,,2020-05-06,,,2206.0,85.0
1473,California,US,2020-05-08 02:32:36,36.1162,-119.6816,62869,2537,,59613.0,6.0,158.50596118914666,842874.0,,4.078972774666924,84000006.0,USA,2149.7160573363713,,2020-05-07,,,1624.0,73.0
1531,California,US,2020-05-09 02:32:39,36.1162,-119.6816,64543,2617,,61166.0,6.0,162.6657607434284,875272.0,,4.096959814358958,84000006.0,USA,2232.3458463980623,,2020-05-08,,,1674.0,80.0
1589,California,US,2020-05-10 02:32:34,36.1162,-119.6816,67271,2692,,63871.0,6.0,169.75348788098128,912570.0,,4.037080441119024,84000006.0,USA,2327.4728873395693,,2020-05-09,,,2728.0,75.0
1647,California,US,2020-05-11 02:32:34,36.1162,-119.6816,68231,2723,,64884.0,6.0,172.41106675011767,955664.0,,4.017751479289942,84000006.0,USA,2437.3823919332026,,2020-05-10,,,960.0,31.0
1705,California,US,2020-05-12 03:32:31,36.1162,-119.6816,70039,2785,,66550.0,6.0,176.82081134199572,991897.0,,4.008423603398288,84000006.0,USA,2529.7931934355247,,2020-05-11,,,1808.0,62.0
