,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio,New_Confirmerd,New_Deaths
10,Florida,US,2020-04-12 23:18:15,27.7663,-81.6868,19895,461,,19434.0,12.0,93.70022691,182753.0,2772.0,2.317165117,84000012.0,USA,860.7186513,13.93314903,2020-04-12,,,,
70,Florida,US,2020-04-14 00:42:00,27.7663,-81.6868,21019,499,,122520.0,12.0,579.3871934514303,196207.0,2833.0,0.405628398865216,84000012.0,USA,924.083459185368,2.302896300571456,2020-04-13,,,1124.0,38.0
129,Florida,US,2020-04-14 23:33:31,27.7663,-81.6868,21628,571,,21057.0,12.0,101.8622019,203180.0,3060.0,2.640096172,84000012.0,USA,956.9244585000001,14.14832624,2020-04-14,,,609.0,72.0
188,Florida,US,2020-04-15 22:56:51,27.7663,-81.6868,22511,596,,21915.0,12.0,106.020900119373,213509.0,3344.0,2.647594509350984,84000012.0,USA,1005.5713368391993,14.854959797432365,2020-04-15,,,883.0,25.0
247,Florida,US,2020-04-16 23:30:51,27.7663,-81.6868,23343,668,,22675.0,12.0,109.93940169190724,219248.0,3460.0,2.8616715931971037,84000012.0,USA,1032.6005201622447,14.82243070727841,2020-04-16,,,832.0,72.0
306,Florida,US,2020-04-17 23:30:52,27.7663,-81.6868,24759,725,,24034.0,12.0,116.60838994516264,234837.0,3665.0,2.9282281190678137,84000012.0,USA,1106.020617535125,14.802698008804882,2020-04-17,,,1416.0,57.0
365,Florida,US,2020-04-18 22:32:47,27.7663,-81.6868,25492,748,,24744.0,12.0,120.06062750846505,246527.0,3842.0,2.934253883571317,84000012.0,USA,1161.077448524218,15.07139494743449,2020-04-18,,,733.0,23.0
424,Florida,US,2020-04-19 23:41:01,27.7663,-81.6868,26314,774,,25540.0,12.0,123.9320317063294,256079.0,3930.0,2.9414000152010336,84000012.0,USA,1206.0648608088898,14.935015581059512,2020-04-19,,,822.0,26.0
483,Florida,US,2020-04-20 23:36:47,27.7663,-81.6868,27059,822,,26237.0,12.0,127.44078611923568,266225.0,4010.0,3.0378062751764663,84000012.0,USA,1253.8498571489529,14.819468568683247,2020-04-20,,,745.0,48.0
542,Florida,US,2020-04-21 23:40:34,27.7663,-81.6868,27869,867,,27002.0,12.0,131.25567346749614,277059.0,4235.0,3.1109835300871937,84000012.0,USA,1304.8751528663038,15.196096020668126,2020-04-21,,,810.0,45.0
601,Florida,US,2020-04-22 23:40:26,27.7663,-81.6868,28309,893,,27416.0,12.0,133.32795795297102,288627.0,4469.0,3.1544738422409835,84000012.0,USA,1359.3573958844242,15.786498993253028,2020-04-22,,,440.0,26.0
660,Florida,US,2020-04-24 03:33:00,27.7663,-81.6868,29648,987,,28661.0,12.0,139.63429642126832,296708.0,4693.0,3.329060982191041,84000012.0,USA,1397.4167843551566,15.829060982191043,2020-04-23,,,1339.0,94.0
719,Florida,US,2020-04-25 06:32:46,27.7663,-81.6868,30533,1046,,29487.0,12.0,143.8024140795529,319038.0,5009.0,3.4258015917204334,84000012.0,USA,1502.5852219930046,16.40520093014116,2020-04-24,,,885.0,59.0
778,Florida,US,2020-04-26 02:32:45,27.7663,-81.6868,30839,1055,,29784.0,12.0,145.24359374445137,333099.0,5045.0,3.4209928986024187,84000012.0,USA,1568.8088405163267,16.359155614643797,2020-04-25,,,306.0,9.0
837,Florida,US,2020-04-27 02:32:46,27.7663,-81.6868,31532,1075,,30457.0,12.0,148.50744180907418,344613.0,5155.0,3.4092350627933534,84000012.0,USA,1623.0367577112295,16.34847139413929,2020-04-26,,,693.0,20.0
896,Florida,US,2020-04-28 02:32:46,27.7663,-81.6868,32138,1088,,31050.0,12.0,151.36154271406912,356463.0,5211.0,3.3854004605140333,84000012.0,USA,1678.847146695041,16.214450183583295,2020-04-27,,,606.0,13.0
955,Florida,US,2020-04-29 02:32:33,27.7663,-81.6868,32848,1171,,31677.0,12.0,154.70545631563078,366875.0,5266.0,3.564905017048222,84000012.0,USA,1727.8849332013226,16.03141743789576,2020-04-28,,,710.0,83.0
1014,Florida,US,2020-04-30 02:32:31,27.7663,-81.6868,33193,1218,,31975.0,12.0,156.33031574174174,373488.0,5624.0,3.6694483776699913,84000012.0,USA,1759.030427070516,16.943331425300514,2020-04-29,,,345.0,47.0
1073,Florida,US,2020-05-01 02:32:32,27.7663,-81.6868,33690,1268,0.0,32422.0,12.0,158.6710552628349,382405.0,5795.0,3.763728109231226,84000012.0,USA,1801.0271560636504,17.20094983674681,2020-04-30,,,497.0,50.0
1131,Florida,US,2020-05-02 02:32:31,27.7663,-81.6868,34728,1314,0.0,33414.0,12.0,163.55976275356872,402699.0,5795.0,3.7836903939184516,84000012.0,USA,1896.6065682187107,16.686823312600783,2020-05-01,,,1038.0,46.0
1189,Florida,US,2020-05-03 02:32:33,27.7663,-81.6868,35463,1364,0.0,34099.0,12.0,167.0214197918051,416012.0,5945.0,3.846262301553732,84000012.0,USA,1959.307303116725,16.763951160364325,2020-05-02,,,735.0,50.0
1247,Florida,US,2020-05-04 02:32:32,27.7663,-81.6868,36078,1379,0.0,34699.0,12.0,169.9179083340029,428189.0,6244.0,3.822273961971285,84000012.0,USA,2016.6577762522413,17.306946061311606,2020-05-03,,,615.0,15.0
1305,Florida,US,2020-05-05 02:32:38,27.7663,-81.6868,36897,1399,0.0,35498.0,12.0,173.77518331946632,444270.0,6329.0,3.791636176382904,84000012.0,USA,2092.39506445888,17.153156083150392,2020-05-04,,,819.0,20.0
1363,Florida,US,2020-05-06 02:32:35,27.7663,-81.6868,37439,1471,,35968.0,12.0,176.32786102657394,465691.0,6546.0,3.929057934239697,84000012.0,USA,2193.2823507392363,17.484441357942252,2020-05-05,,,542.0,72.0
1421,Florida,US,2020-05-07 02:32:32,27.7663,-81.6868,38002,1539,,36463.0,12.0,178.97944322048835,480051.0,6776.0,4.049786853323509,84000012.0,USA,2260.914180765187,17.830640492605653,2020-05-06,,,563.0,68.0
1479,Florida,US,2020-05-08 02:32:36,27.7663,-81.6868,38828,1600,,37228.0,12.0,182.86968636822064,492950.0,6990.0,4.120737612032554,84000012.0,USA,2321.6650843518687,18.00247244256722,2020-05-07,,,826.0,61.0
