,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio,Cum_Confirmerd,Cum_Deaths
11,Georgia,US,2020-04-12 23:18:15,33.0406,-83.6431,12452,433,,12019.0,13.0,122.80814050000001,54453.0,2505.0,3.4773530360000002,84000013.0,USA,537.0439828,20.11725024,2020-04-12,,,,
71,Georgia,US,2020-04-13 23:07:54,33.0406,-83.6431,13315,465,,12850.0,13.0,131.31949811985785,57021.0,2589.0,3.492301915133308,84000013.0,USA,562.3709427181686,19.44423582425836,2020-04-13,,,863.0,32.0
130,Georgia,US,2020-04-14 23:33:31,33.0406,-83.6431,14578,525,,14053.0,13.0,143.77586509999998,61795.0,2769.0,3.6013170530000003,84000013.0,USA,609.4546291,18.99437509,2020-04-14,,,1263.0,60.0
189,Georgia,US,2020-04-15 22:56:51,33.0406,-83.6431,14987,552,,14435.0,13.0,147.8096371252204,64090.0,2922.0,3.683192099819844,84000013.0,USA,632.0891201278025,19.496897311002872,2020-04-15,,,409.0,27.0
248,Georgia,US,2020-04-16 23:30:51,33.0406,-83.6431,15669,587,,15082.0,13.0,154.53587803530252,67939.0,3108.0,3.7462505584274686,84000013.0,USA,670.0499724194535,19.835343672219032,2020-04-16,,,682.0,35.0
307,Georgia,US,2020-04-17 23:30:52,33.0406,-83.6431,17194,650,,16544.0,13.0,169.57622611136586,71684.0,3324.0,3.780388507618937,84000013.0,USA,706.9851222849336,19.332325229731303,2020-04-17,,,1525.0,63.0
366,Georgia,US,2020-04-18 22:32:47,33.0406,-83.6431,17669,673,,16996.0,13.0,174.26092469243477,74208.0,3420.0,3.808930895919407,84000013.0,USA,731.8781311662344,19.355934121908426,2020-04-18,,,475.0,23.0
425,Georgia,US,2020-04-19 23:41:01,33.0406,-83.6431,18301,687,,17614.0,13.0,180.4940394360885,79933.0,3464.0,3.7538932298781487,84000013.0,USA,788.3410772222755,18.927927435659253,2020-04-19,,,632.0,14.0
484,Georgia,US,2020-04-20 23:36:47,33.0406,-83.6431,19407,775,,18632.0,13.0,191.40199023748264,84328.0,3550.0,3.993404441696295,84000013.0,USA,831.6868672513237,18.292368732931415,2020-04-20,,,1106.0,88.0
543,Georgia,US,2020-04-21 23:40:34,33.0406,-83.6431,19881,798,,19083.0,13.0,196.07682629522301,88140.0,3779.0,4.013882601478799,84000013.0,USA,869.2828061798176,19.00809818419597,2020-04-21,,,474.0,23.0
602,Georgia,US,2020-04-22 23:40:26,33.0406,-83.6431,21214,848,,20366.0,13.0,209.22356989220157,94072.0,3959.0,3.997360233807863,84000013.0,USA,927.787294564872,18.66220420477044,2020-04-22,,,1333.0,50.0
661,Georgia,US,2020-04-24 03:33:00,33.0406,-83.6431,21883,881,,21002.0,13.0,215.82159799901243,101062.0,4069.0,4.025956221724626,84000013.0,USA,996.7263326315492,18.5943426404058,2020-04-23,,,669.0,33.0
720,Georgia,US,2020-04-25 06:32:46,33.0406,-83.6431,22491,899,,21592.0,13.0,221.81801218278056,107520.0,4322.0,3.9971544173224847,84000013.0,USA,1060.418508287429,19.216575519096526,2020-04-24,,,608.0,18.0
779,Georgia,US,2020-04-26 02:32:45,33.0406,-83.6431,23222,907,,22315.0,13.0,229.02751673596242,119014.0,4326.0,3.9057790026698815,84000013.0,USA,1173.778351425968,18.6288864008268,2020-04-25,,,731.0,8.0
838,Georgia,US,2020-04-27 02:32:46,33.0406,-83.6431,23486,916,,22570.0,13.0,231.63122289470382,123223.0,4359.0,3.900195861364217,84000013.0,USA,1215.2897121159026,18.55999318743081,2020-04-26,,,264.0,9.0
897,Georgia,US,2020-04-28 02:32:46,33.0406,-83.6431,24302,995,,23307.0,13.0,239.67904193081384,127169.0,4681.0,4.094313225248952,84000013.0,USA,1254.2072291704244,19.26178915315612,2020-04-27,,,816.0,79.0
956,Georgia,US,2020-04-29 02:32:33,33.0406,-83.6431,24922,1036,,23886.0,13.0,245.7938063945248,140020.0,4814.0,4.156969745606292,84000013.0,USA,1380.9505164658276,19.316266752267076,2020-04-28,,,620.0,41.0
1015,Georgia,US,2020-04-30 02:32:31,33.0406,-83.6431,25775,1101,,24674.0,13.0,254.2065387937917,143939.0,5056.0,4.271580989330747,84000013.0,USA,1419.6017453904785,19.615906886517944,2020-04-29,,,853.0,65.0
1074,Georgia,US,2020-05-01 02:32:32,33.0406,-83.6431,26264,1132,0.0,25132.0,13.0,259.02931270146047,149044.0,5156.0,4.310082241851965,84000013.0,USA,1469.9499269828086,19.631434663417608,2020-04-30,,,489.0,31.0
1132,Georgia,US,2020-05-02 02:32:31,33.0406,-83.6431,27489,1169,0.0,26320.0,13.0,271.110903778954,168367.0,5269.0,4.252610134963076,84000013.0,USA,1660.5234652606916,19.16766706682673,2020-05-01,,,1225.0,37.0
1190,Georgia,US,2020-05-03 02:32:33,33.0406,-83.6431,28331,1177,0.0,27154.0,13.0,279.41514842160666,174800.0,5387.0,4.154459779040627,84000013.0,USA,1723.9690778333575,19.014507077053405,2020-05-02,,,842.0,8.0
1248,Georgia,US,2020-05-04 02:32:32,33.0406,-83.6431,28665,1184,0.0,27481.0,13.0,282.70923121334783,175096.0,5393.0,4.130472701901273,84000013.0,USA,1726.888384738613,18.813884528170238,2020-05-03,,,334.0,7.0
1306,Georgia,US,2020-05-05 02:32:38,33.0406,-83.6431,29451,1246,0.0,28205.0,13.0,290.46117454960074,183325.0,5526.0,4.2307561712675295,84000013.0,USA,1808.0470892093838,18.763369664867067,2020-05-04,,,786.0,62.0
