,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio,New_Confirmerd,New_Deaths,New_Recovered,Interpolated_Recovered
33,New Jersey,US,2020-04-12 23:18:15,40.2989,-74.521,61850,2350,,59500.0,34.0,696.3372772000001,126735.0,7604.0,3.7995149560000003,84000034.0,USA,1426.844055,12.29426031,2020-04-12,,,,,,4061.293698203295
93,New Jersey,US,2020-04-13 23:07:54,40.2989,-74.521,64584,2443,,62141.0,34.0,727.1179742833693,129469.0,7781.0,3.7826706304967175,84000034.0,USA,1457.624752454068,12.047875634832153,2020-04-13,,,2734.0,93.0,292.4185530718014,4353.712251275097
152,New Jersey,US,2020-04-14 23:33:31,40.2989,-74.521,68824,2805,,66019.0,34.0,774.8539493,139774.0,8185.0,4.075613158,84000034.0,USA,1573.643437,11.89265373,2020-04-14,,,4240.0,362.0,822.5112614391164,5176.223512714213
211,New Jersey,US,2020-04-15 22:56:51,40.2989,-74.521,71030,3156,,67874.0,34.0,799.6901665017299,144021.0,8270.0,4.443193017035056,84000034.0,USA,1621.458221452142,11.642967760101365,2020-04-15,,,2206.0,351.0,703.563538105599,5879.787050819812
270,New Jersey,US,2020-04-16 23:30:51,40.2989,-74.521,75317,3518,,71799.0,34.0,847.9552903056566,151830.0,8224.0,4.670924226934158,84000034.0,USA,1709.3757282832275,10.919181592469164,2020-04-16,,,4287.0,362.0,824.8290987791606,6704.616149598973
329,New Jersey,US,2020-04-17 23:30:52,40.2989,-74.521,78467,3840,,74627.0,34.0,883.4195170335244,157449.0,8011.0,4.893777001796933,84000034.0,USA,1772.6371536749384,10.20938738578001,2020-04-17,,,3150.0,322.0,700.9767477287423,7405.592897327715
388,New Jersey,US,2020-04-18 22:32:47,40.2989,-74.521,81420,4070,,77350.0,34.0,916.665822280316,162536.0,7718.0,4.998771800540409,84000034.0,USA,1829.909065219276,9.479243429132893,2020-04-18,,,2953.0,230.0,535.3666056735692,7940.959503001284
447,New Jersey,US,2020-04-19 23:41:01,40.2989,-74.521,85301,4362,,80939.0,34.0,960.3600013059844,170688.0,7494.0,5.113656346349983,84000034.0,USA,1921.6882322940626,8.785360077841995,2020-04-19,,,3881.0,292.0,686.1912054471504,8627.150708448435
506,New Jersey,US,2020-04-20 23:36:47,40.2989,-74.521,88722,4496,,84226.0,34.0,998.875277380916,178057.0,6986.0,5.067514258019432,84000034.0,USA,2004.6520058679223,7.874033497892293,2020-04-20,,,3421.0,134.0,395.77335482592935,9022.924063274364
565,New Jersey,US,2020-04-21 23:40:34,40.2989,-74.521,92387,4753,,87634.0,34.0,1040.1376237166735,184826.0,7594.0,5.144663210191911,84000034.0,USA,2080.8606886364732,8.219771179927912,2020-04-21,,,3665.0,257.0,616.2311548360267,9639.15521811039
624,New Jersey,US,2020-04-22 23:40:26,40.2989,-74.521,95914,5150,,90764.0,34.0,1079.84629916721,191659.0,7210.0,5.369393414934212,84000034.0,USA,2157.7899144242583,7.517150780907898,2020-04-22,,,3527.0,397.0,846.6570378183351,10485.812255928726
683,New Jersey,US,2020-04-24 03:33:00,40.2989,-74.521,100025,5426,,94599.0,34.0,1126.1299296682464,200148.0,7240.0,5.42464383904024,84000034.0,USA,2253.363190834693,7.2381904523869025,2020-04-23,,,4111.0,276.0,670.4216482282845,11156.23390415701
