,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio,Cum_Confirmerd,Cum_Deaths
35,New York,US,2020-04-12 23:18:15,42.1657,-74.9481,189033,9385,23887.0,179648.0,36.0,1121.124012,461601.0,42594.0,4.9647416060000005,84000036.0,USA,2737.680538,22.53257368,2020-04-12,,,,
95,New York,US,2020-04-13 23:07:54,42.1657,-74.9481,195749,10058,23887.0,185691.0,36.0,1160.9555172357552,478357.0,42712.0,5.138212711176047,84000036.0,USA,2837.057652188998,21.819779411389074,2020-04-13,,,6716.0,673.0
154,New York,US,2020-04-14 23:33:31,42.1657,-74.9481,203020,10842,23887.0,192178.0,36.0,1204.0786369999998,499143.0,46201.0,5.340360556,84000036.0,USA,2960.336041,22.75687124,2020-04-14,,,7271.0,784.0
213,New York,US,2020-04-15 22:56:51,42.1657,-74.9481,214454,11617,23887.0,202837.0,36.0,1271.8918333849808,526012.0,46201.0,5.417012506178482,84000036.0,USA,3119.6917150647723,21.5435478004607,2020-04-15,,,11434.0,775.0
272,New York,US,2020-04-16 23:30:51,42.1657,-74.9481,223691,14832,23887.0,208859.0,36.0,1326.6749797239493,550579.0,50450.0,6.630575213128825,84000036.0,USA,3265.394600862048,22.55343308403109,2020-04-16,,,9237.0,3215.0
331,New York,US,2020-04-17 23:30:52,42.1657,-74.9481,230597,17131,23887.0,213466.0,36.0,1367.6333437617227,550579.0,52424.0,7.428977827118306,84000036.0,USA,3265.394600862048,22.73403383391805,2020-04-17,,,6906.0,2299.0
390,New York,US,2020-04-18 22:32:47,42.1657,-74.9481,241712,17671,23887.0,224041.0,36.0,1433.5546029971488,596532.0,54339.0,7.3107665320712245,84000036.0,USA,3537.9343782480605,22.480886344078908,2020-04-18,,,11115.0,540.0
449,New York,US,2020-04-19 23:41:01,42.1657,-74.9481,247815,18298,23887.0,229517.0,36.0,1469.750504491868,617555.0,55723.0,7.383733833706597,84000036.0,USA,3662.6183758104858,22.48572523858524,2020-04-19,,,6103.0,627.0
508,New York,US,2020-04-20 23:36:47,42.1657,-74.9481,253060,18611,23887.0,234449.0,36.0,1500.8577473789405,633861.0,57103.0,7.354382359914645,84000036.0,USA,3759.3266127059296,22.56500434679523,2020-04-20,,,5245.0,313.0
567,New York,US,2020-04-21 23:40:34,42.1657,-74.9481,258361,19104,23887.0,239257.0,36.0,1532.2971171681436,649325.0,57103.0,7.394304867994782,84000036.0,USA,3851.041084394336,22.10202004172457,2020-04-21,,,5301.0,493.0
626,New York,US,2020-04-22 23:40:26,42.1657,-74.9481,263292,19413,23887.0,243879.0,36.0,1561.5420770682683,669982.0,57103.0,7.373182626133722,84000036.0,USA,3973.5543954178343,21.688087750482353,2020-04-22,,,4931.0,309.0
685,New York,US,2020-04-24 03:33:00,42.1657,-74.9481,263460,20973,23887.0,242487.0,36.0,1562.5384577746606,695920.0,57103.0,7.960601229788202,84000036.0,USA,4127.388459479776,21.67425795187125,2020-04-23,,,168.0,1560.0
744,New York,US,2020-04-25 06:32:46,42.1657,-74.9481,271590,21411,23887.0,250179.0,36.0,1610.7561669590075,730656.0,57103.0,7.883574505688722,84000036.0,USA,4333.402032201482,21.02544276298833,2020-04-24,,,8130.0,438.0
803,New York,US,2020-04-26 02:32:45,42.1657,-74.9481,282143,22009,23887.0,260134.0,36.0,1673.3442954980496,777568.0,57103.0,7.800654278149732,84000036.0,USA,4611.629482786486,20.239027727074564,2020-04-25,,,10553.0,598.0
862,New York,US,2020-04-27 02:32:46,42.1657,-74.9481,288045,22269,23887.0,265776.0,36.0,1708.3480986476209,805350.0,57103.0,7.73108368484091,84000036.0,USA,4776.400011268592,19.824333003523755,2020-04-26,,,5902.0,260.0
921,New York,US,2020-04-28 02:32:46,42.1657,-74.9481,291996,22668,23887.0,269328.0,36.0,1731.7808377604565,826095.0,57103.0,7.763120042740311,84000036.0,USA,4899.435235995439,19.55608980944945,2020-04-27,,,3951.0,399.0
980,New York,US,2020-04-29 02:32:33,42.1657,-74.9481,295106,22912,51630.0,272194.0,36.0,1750.2257425037922,844994.0,64275.0,7.763989888379091,84000036.0,USA,5011.5221346270455,21.780309448130502,2020-04-28,,,3110.0,244.0
1039,New York,US,2020-04-30 02:32:31,42.1657,-74.9481,299691,23477,53238.0,276214.0,36.0,1777.4186326157517,872481.0,65397.0,7.833735414143233,84000036.0,USA,5174.543066035428,21.82147612040401,2020-04-29,,,4585.0,565.0
1098,New York,US,2020-05-01 02:32:32,42.1657,-74.9481,304372,23587,54771.0,226014.0,36.0,1805.1808831313635,900636.0,66369.0,7.749398762041188,84000036.0,USA,5341.525796919226,21.805225184971018,2020-04-30,,,4681.0,110.0
1156,New York,US,2020-05-02 02:32:31,42.1657,-74.9481,308314,24039,56187.0,228088.0,36.0,1828.5602447063568,927438.0,67180.0,7.796921320471987,84000036.0,USA,5500.484104614045,21.789474367041393,2020-05-01,,,3942.0,452.0
1214,New York,US,2020-05-03 02:32:33,42.1657,-74.9481,312977,24198,57540.0,231239.0,36.0,1856.215740146284,959071.0,67890.0,7.731558549030759,84000036.0,USA,5688.09428845518,21.69168980468213,2020-05-02,,,4663.0,159.0
1272,New York,US,2020-05-04 02:32:32,42.1657,-74.9481,316415,24708,58950.0,232757.0,36.0,1876.6059596020998,985911.0,68736.0,7.8087322029613,84000036.0,USA,5847.277967976443,21.723369625333813,2020-05-03,,,3438.0,510.0
1330,New York,US,2020-05-05 02:32:38,42.1657,-74.9481,318953,24999,58950.0,235004.0,36.0,1891.6584252736714,1007310.0,69331.0,7.837831906268321,84000036.0,USA,5974.191960453175,21.73705843807709,2020-05-04,,,2538.0,291.0
1388,New York,US,2020-05-06 02:32:35,42.1657,-74.9481,321192,25124,58950.0,237118.0,36.0,1904.9375705213647,1028899.0,69867.0,7.822112630451567,84000036.0,USA,6102.232812062138,21.752409773593364,2020-05-05,,,2239.0,125.0
1446,New York,US,2020-05-07 02:32:32,42.1657,-74.9481,323978,25623,54597.0,243758.0,36.0,1921.4608839023724,1028899.0,70539.0,7.908870355394503,84000036.0,USA,6102.232812062138,21.772774694578022,2020-05-06,,,2786.0,499.0
1504,New York,US,2020-05-08 02:32:36,42.1657,-74.9481,327469,26144,55547.0,245778.0,36.0,1942.165437747705,1089916.0,71152.0,7.983656468245848,84000036.0,USA,6464.1147261213355,21.727858209479365,2020-05-07,,,3491.0,521.0
1562,New York,US,2020-05-09 02:32:39,42.1657,-74.9481,330407,26243,56378.0,247786.0,36.0,1959.5902384344959,1121543.0,71679.0,7.942628334145462,84000036.0,USA,6651.689324937243,21.694152968914093,2020-05-08,,,2938.0,99.0
