,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio,Cum_Confirmerd,Cum_Deaths,Cum_Recovered,Interpolated_Recovered
38,Ohio,US,2020-04-12 23:18:15,40.3888,-82.7649,6604,361,,6351.0,39.0,59.10222609,63243.0,1948.0,3.831011508,84000039.0,USA,565.9906245,29.49727438,2020-04-12,,,,,,
99,Ohio,US,2020-04-13 23:07:54,40.3888,-82.7649,6975,397,,6701.0,39.0,62.422475312917825,65112.0,2033.0,3.92831541218638,84000039.0,USA,582.7171630931477,29.14695340501792,2020-04-13,,,371.0,36.0,,
158,Ohio,US,2020-04-14 23:33:31,40.3888,-82.7649,7285,431,,6961.0,39.0,65.19680755,67874.0,2156.0,4.447494852,84000039.0,USA,607.4355684,29.59505834,2020-04-14,,,310.0,34.0,,
217,Ohio,US,2020-04-15 22:56:51,40.3888,-82.7649,7794,466,,7432.0,39.0,69.75208209159592,71552.0,2237.0,4.6445984090325885,84000039.0,USA,640.3516779340354,28.701565306646142,2020-04-15,,,509.0,35.0,,
276,Ohio,US,2020-04-16 23:30:51,40.3888,-82.7649,8414,500,,8007.0,39.0,75.30074656385528,74840.0,2331.0,4.837176135013073,84000039.0,USA,669.7774985546624,27.703826955074874,2020-04-16,,,620.0,34.0,,
335,Ohio,US,2020-04-17 23:30:52,40.3888,-82.7649,9107,548,,8689.0,39.0,81.50272153042906,77677.0,2424.0,4.589875919622268,84000039.0,USA,695.1671132446621,26.616888108048755,2020-04-17,,,693.0,48.0,,
394,Ohio,US,2020-04-18 22:32:47,40.3888,-82.7649,10222,583,,9771.0,39.0,91.48136812166969,78758.0,2519.0,4.4120524359225195,84000039.0,USA,704.8414782358111,24.642927020152612,2020-04-18,,,1115.0,35.0,,
453,Ohio,US,2020-04-19 23:41:01,40.3888,-82.7649,11602,613,,11131.0,39.0,103.83162130185987,86989.0,2565.0,4.059644888812274,84000039.0,USA,778.5044738344673,22.108257197034998,2020-04-19,,,1380.0,30.0,,
512,Ohio,US,2020-04-20 23:36:47,40.3888,-82.7649,12919,654,,12410.0,39.0,115.6180585759979,90436.0,2653.0,3.9399334313801377,84000039.0,USA,809.3532584084641,20.53564517377506,2020-04-20,,,1317.0,41.0,,
571,Ohio,US,2020-04-21 23:40:34,40.3888,-82.7649,13725,691,,13168.0,39.0,122.83132238993507,94239.0,2779.0,4.0582877959927135,84000039.0,USA,843.3880503245969,20.247723132969035,2020-04-21,,,806.0,37.0,,
630,Ohio,US,2020-04-22 23:40:26,40.3888,-82.7649,14117,734,,13507.0,39.0,126.33951024981519,97998.0,2882.0,4.3210313806049445,84000039.0,USA,877.0290660523758,20.415102358858114,2020-04-22,,,392.0,43.0,,
689,Ohio,US,2020-04-24 03:33:00,40.3888,-82.7649,14694,774,,14038.0,39.0,131.50334799254688,102325.0,2960.0,4.464407241050768,84000039.0,USA,915.7533743934504,20.144276575472983,2020-04-23,,,577.0,40.0,,
748,Ohio,US,2020-04-25 06:32:46,40.3888,-82.7649,15169,822,,14479.0,39.0,135.75434093500365,107109.0,3053.0,4.5487507416441435,84000039.0,USA,958.5675854181096,20.12657393368053,2020-04-24,,,475.0,48.0,,
807,Ohio,US,2020-04-26 02:32:45,40.3888,-82.7649,15587,853,,14876.0,39.0,139.4952147243656,111379.0,3115.0,4.5614935523192415,84000039.0,USA,996.7817746060896,19.984602553409893,2020-04-25,,,418.0,31.0,,
866,Ohio,US,2020-04-27 02:32:46,40.3888,-82.7649,15972,903,,15244.0,39.0,142.94075637246215,115783.0,3178.0,4.557976458802905,84000039.0,USA,1036.1951912767836,19.89732031054345,2020-04-26,,,385.0,50.0,,
925,Ohio,US,2020-04-28 02:32:46,40.3888,-82.7649,16325,949,,15572.0,39.0,146.0999153381195,119391.0,3232.0,4.612557427258807,84000039.0,USA,1068.4848387218026,19.797856049004594,2020-04-27,,,353.0,46.0,,
984,Ohio,US,2020-04-29 02:32:33,40.3888,-82.7649,16769,1004,,15970.0,39.0,150.0734750569633,122706.0,3340.0,4.764744468960582,84000039.0,USA,1098.1522947307376,19.917705289522328,2020-04-28,,,444.0,55.0,,
1043,Ohio,US,2020-04-30 02:32:31,40.3888,-82.7649,17303,1045,,16366.0,39.0,154.85248607016734,128908.0,3421.0,5.415245911113679,84000039.0,USA,1153.6568383709835,19.77113795295613,2020-04-29,,,534.0,41.0,,
1102,Ohio,US,2020-05-01 02:32:32,40.3888,-82.7649,18027,1074,0.0,17051.0,39.0,161.3318942603541,133890.0,3533.0,5.414101070616297,84000039.0,USA,1198.2430422432355,19.59838020746658,2020-04-30,,,724.0,29.0,,0.0
1160,Ohio,US,2020-05-02 02:32:31,40.3888,-82.7649,18743,1123,0.0,17740.0,39.0,167.73970677993103,140506.0,3634.0,5.351331163634423,84000039.0,USA,1257.4526618375387,19.388571733447154,2020-05-01,,,716.0,49.0,0.0,0.0
1218,Ohio,US,2020-05-03 02:32:33,40.3888,-82.7649,19335,1164,0.0,18313.0,39.0,173.03778640505607,145819.0,3712.0,5.2857512283423835,84000039.0,USA,1305.0011365812707,19.198344970261182,2020-05-02,,,592.0,41.0,0.0,0.0
1276,Ohio,US,2020-05-04 02:32:32,40.3888,-82.7649,19914,1208,0.0,18875.0,39.0,178.21952306544026,150166.0,3769.0,5.2174349703726035,84000039.0,USA,1343.9044340988698,18.926383448829966,2020-05-03,,,579.0,44.0,0.0,0.0
1334,Ohio,US,2020-05-05 02:32:38,40.3888,-82.7649,20474,1237,0.0,19417.0,39.0,183.23122000812612,155155.0,3809.0,5.162645306242064,84000039.0,USA,1388.5532841829056,18.60408322750806,2020-05-04,,,560.0,29.0,0.0,0.0
1392,Ohio,US,2020-05-06 02:32:35,40.3888,-82.7649,20969,1275,,19834.0,39.0,187.6612021271074,160735.0,3956.0,5.412752157947447,84000039.0,USA,1438.4912644332394,18.86594496637894,2020-05-05,,,495.0,38.0,660.7966101694915,660.7966101694915
1450,Ohio,US,2020-05-07 02:32:32,40.3888,-82.7649,21576,1317,,20351.0,39.0,193.09352363462585,168929.0,4052.0,5.677604746014089,84000039.0,USA,1511.8231300553257,18.780126065999262,2020-05-06,,,607.0,42.0,660.7966101694915,1321.593220338983
1508,Ohio,US,2020-05-08 02:32:36,40.3888,-82.7649,22131,1357,,20860.0,39.0,198.06047328318058,176059.0,4140.0,5.743075324205865,84000039.0,USA,1575.6327714863082,18.706791378609193,2020-05-07,,,555.0,40.0,660.7966101694915,1982.3898305084745
1566,Ohio,US,2020-05-09 02:32:39,40.3888,-82.7649,23016,1396,,21710.0,39.0,205.9807443443895,184316.0,4218.0,5.674313521028849,84000039.0,USA,1649.5284530144463,18.32638164754953,2020-05-08,,,885.0,39.0,660.7966101694915,2643.186440677966
1624,Ohio,US,2020-05-10 02:32:34,40.3888,-82.7649,23697,1436,,22366.0,39.0,212.07532580504855,196670.0,4300.0,5.616744735620543,84000039.0,USA,1760.090067353627,18.14575684685825,2020-05-09,,,681.0,40.0,660.7966101694915,3303.9830508474574
1682,Ohio,US,2020-05-11 02:32:34,40.3888,-82.7649,24081,1470,,22740.0,39.0,215.51191799431888,204862.0,4351.0,5.568705618537437,84000039.0,USA,1833.4040340580607,18.06818653710394,2020-05-10,,,384.0,34.0,660.7966101694915,3964.779661016949
1740,Ohio,US,2020-05-12 03:32:31,40.3888,-82.7649,24777,1496,,23420.0,39.0,221.74074133737133,210530.0,4413.0,5.476853533518988,84000039.0,USA,1884.1295666851026,17.810872987044434,2020-05-11,,,696.0,26.0,660.7966101694919,4625.576271186441
1798,Ohio,US,2020-05-13 03:32:30,40.3888,-82.7649,25250,1535,,23814.0,39.0,225.97383536217566,217731.0,4539.0,5.687128712871287,84000039.0,USA,1948.5746196927469,17.976237623762373,2020-05-12,,,473.0,39.0,660.796610169491,5286.372881355932
1856,Ohio,US,2020-05-14 03:32:32,40.3888,-82.7649,25721,1572,,24238.0,39.0,230.18903046932755,225854.0,4618.0,5.7657167295206255,84000039.0,USA,2021.271073738171,17.954200847556468,2020-05-13,,,471.0,37.0,660.796610169491,5947.169491525423
1914,Ohio,US,2020-05-15 02:33:07,40.3888,-82.7649,26357,1599,,24823.0,39.0,225.48357016365676,233352.0,4718.0,5.820085745722199,84000039.0,USA,1996.3213592149955,17.900368023674925,2020-05-14,,,636.0,27.0,660.7966101694919,6607.966101694915
1972,Ohio,US,2020-05-16 02:32:24,40.3888,-82.7649,26954,1644,,25373.0,39.0,230.5908923698146,246182.0,4791.0,5.8655487126215045,84000039.0,USA,2106.081734265256,17.774727313200266,2020-05-15,,,597.0,45.0,660.7966101694919,7268.762711864407
2030,Ohio,US,2020-05-17 02:32:37,40.3888,-82.7649,27474,1678,,25864.0,39.0,235.03948122609955,246702.0,4870.0,5.860085899395792,84000039.0,USA,2110.5303231215407,17.72584989444566,2020-05-16,,,520.0,34.0,660.796610169491,7929.559322033898
