,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio,New_Confirmerd,New_Deaths,New_Recovered,Interpolated_Recovered
47,Texas,US,2020-04-12 23:18:15,31.0545,-97.5635,13780,306,2014.0,13394.0,48.0,59.50516088,124533.0,1338.0,2.069167215,84000048.0,USA,541.8115230000001,9.782847116000001,2020-04-12,,,,,,2014.0
108,Texas,US,2020-04-13 23:07:54,31.0545,-97.5635,14328,337,2269.0,13970.0,48.0,62.106907327923295,133226.0,1176.0,2.136602451838879,84000048.0,USA,579.6325629190828,8.238178633975481,2020-04-13,,,548.0,31.0,255.0,2269.0
167,Texas,US,2020-04-14 23:33:31,31.0545,-97.5635,15088,363,2580.0,14664.0,48.0,65.28730307,146467.0,1409.0,2.279088365,84000048.0,USA,637.2407982999999,9.389577502,2020-04-14,,,760.0,26.0,311.0,2580.0
226,Texas,US,2020-04-15 22:56:51,31.0545,-97.5635,16044,406,3150.0,15532.0,48.0,69.20732573487047,151810.0,1538.0,2.3574526937826112,84000048.0,USA,660.4868372295648,9.668699314767084,2020-04-15,,,956.0,43.0,570.0,3150.0
285,Texas,US,2020-04-16 23:30:51,31.0545,-97.5635,16985,440,3677.0,16462.0,48.0,73.42319916399535,158547.0,1459.0,2.4531879592320456,84000048.0,USA,689.7978168910863,8.645413605119696,2020-04-16,,,941.0,34.0,527.0,3677.0
344,Texas,US,2020-04-17 23:30:52,31.0545,-97.5635,17925,479,4190.0,17398.0,48.0,77.65647557941176,169536.0,1522.0,2.526752199002745,84000048.0,USA,737.6081709805118,8.527088352288644,2020-04-17,,,940.0,39.0,513.0,4190.0
403,Texas,US,2020-04-18 22:32:47,31.0545,-97.5635,18724,501,4806.0,18228.0,48.0,81.37636389922785,176239.0,1321.0,2.5449101796407185,84000048.0,USA,766.7712252585551,7.062660393498716,2020-04-18,,,799.0,22.0,616.0,4806.0
462,Texas,US,2020-04-19 23:41:01,31.0545,-97.5635,19282,521,5334.0,18770.0,48.0,83.7953789937515,182710.0,1471.0,2.544132917964694,84000048.0,USA,794.9249063316893,7.637590861889928,2020-04-19,,,558.0,20.0,528.0,5334.0
521,Texas,US,2020-04-20 23:36:47,31.0545,-97.5635,19847,542,5706.0,19244.0,48.0,85.93159556103771,190394.0,1411.0,2.5669586350058227,84000048.0,USA,828.3560429977323,7.143942078882081,2020-04-20,,,565.0,21.0,372.0,5706.0
580,Texas,US,2020-04-21 23:40:34,31.0545,-97.5635,20785,574,6486.0,20041.0,48.0,89.51225999052146,205399.0,1419.0,2.5906483911733256,84000048.0,USA,893.6389953238611,6.8970545348498105,2020-04-21,,,938.0,32.0,780.0,6486.0
639,Texas,US,2020-04-22 23:40:26,31.0545,-97.5635,21577,596,7341.0,20765.0,48.0,92.76226768046602,216783.0,1678.0,2.607757609868205,84000048.0,USA,943.167894309576,7.870174944890016,2020-04-22,,,792.0,22.0,855.0,7341.0
698,Texas,US,2020-04-24 03:33:00,31.0545,-97.5635,22797,645,8025.0,22046.0,48.0,98.54440987582926,225078.0,1649.0,2.6666666666666665,84000048.0,USA,979.2573371316513,7.280353200883002,2020-04-23,,,1220.0,49.0,684.0,8025.0
757,Texas,US,2020-04-25 06:32:46,31.0545,-97.5635,23772,663,9156.0,23018.0,48.0,102.86035047613049,242547.0,1674.0,2.639370611623382,84000048.0,USA,1055.2605290133667,7.080619236951189,2020-04-24,,,975.0,18.0,1131.0,9156.0
816,Texas,US,2020-04-26 02:32:45,31.0545,-97.5635,24287,678,9986.0,23515.0,48.0,105.08358197487436,262816.0,1597.0,2.641493810292717,84000048.0,USA,1143.4458112991585,6.612015070591644,2020-04-25,,,515.0,15.0,830.0,9986.0
875,Texas,US,2020-04-27 02:32:46,31.0545,-97.5635,25051,699,10763.0,24316.0,48.0,108.62508968520216,276021.0,1542.0,2.6074418232066328,84000048.0,USA,1200.8974197940954,6.176152521328152,2020-04-26,,,764.0,21.0,777.0,10763.0
934,Texas,US,2020-04-28 02:32:46,31.0545,-97.5635,25565,717,11170.0,24655.0,48.0,110.16525397200321,290517.0,1563.0,2.6302278740966,84000048.0,USA,1263.9658421146264,6.17274199281229,2020-04-27,,,514.0,18.0,407.0,11170.0
993,Texas,US,2020-04-29 02:32:33,31.0545,-97.5635,26506,764,11786.0,25638.0,48.0,114.67262742151135,300384.0,,2.7279280646507567,84000048.0,USA,1306.8946585492758,,2020-04-28,,,941.0,47.0,616.0,11786.0
1052,Texas,US,2020-04-30 02:32:31,31.0545,-97.5635,27542,803,12507.0,26503.0,48.0,118.5882993371072,314790.0,,2.7662618776827967,84000048.0,USA,1369.5715136782471,,2020-04-29,,,1036.0,39.0,721.0,12507.0
1111,Texas,US,2020-05-01 02:32:32,31.0545,-97.5635,28890,847,12507.0,15408.0,48.0,124.98389679924709,314790.0,,2.8266091133776587,84000048.0,USA,1369.5715136782471,,2020-04-30,,,1348.0,44.0,0.0,12507.0
1169,Texas,US,2020-05-02 02:32:31,31.0545,-97.5635,29970,882,14122.0,14730.0,48.0,129.18236724208046,351775.0,,2.8290448605685032,84000048.0,USA,1530.4838756763725,,2020-05-01,,,1080.0,35.0,1615.0,14122.0
