,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio
36,North Carolina,US,2020-04-12 23:18:15,35.6301,-79.8064,4570,89,,4481.0,37.0,46.07841902,62139.0,331.0,1.947483589,84000037.0,USA,626.5354222,7.242888402999999,2020-04-12,,
96,North Carolina,US,2020-04-13 23:07:54,35.6301,-79.8064,4886,94,,4792.0,37.0,49.264585407660405,63388.0,313.0,1.9238641015145312,84000037.0,USA,639.1288456448584,6.406058125255831,2020-04-13,,
155,North Carolina,US,2020-04-14 23:33:31,35.6301,-79.8064,5113,112,,5001.0,37.0,51.55338215,65039.0,418.0,2.190494817,84000037.0,USA,655.7755568,8.175239585,2020-04-14,,
214,North Carolina,US,2020-04-15 22:56:51,35.6301,-79.8064,5340,130,,5210.0,37.0,53.842178894168356,67827.0,431.0,2.4344569288389515,84000037.0,USA,683.8864172012654,8.071161048689138,2020-04-15,,
273,North Carolina,US,2020-04-16 23:30:51,35.6301,-79.8064,5639,150,,5489.0,37.0,56.85693760004033,70917.0,452.0,2.6600461074658632,84000037.0,USA,715.0422847636212,8.015605603830467,2020-04-16,,
332,North Carolina,US,2020-04-17 23:30:52,35.6301,-79.8064,6045,177,,5868.0,37.0,60.950556444802935,72981.0,429.0,2.9280397022332507,84000037.0,USA,735.8531943586706,7.096774193548387,2020-04-17,,
391,North Carolina,US,2020-04-18 22:32:47,35.6301,-79.8064,6328,187,,6141.0,37.0,63.803990270093145,76211.0,388.0,2.9551201011378003,84000037.0,USA,768.420654626117,6.131479140328697,2020-04-18,,
450,North Carolina,US,2020-04-19 23:41:01,35.6301,-79.8064,6601,200,,6401.0,37.0,66.55659604501972,78772.0,465.0,3.0298439630359035,84000037.0,USA,794.2427183242378,7.044387214058477,2020-04-19,,
509,North Carolina,US,2020-04-20 23:36:47,35.6301,-79.8064,6895,218,,6677.0,37.0,69.52094072570989,79484.0,373.0,3.161711385061639,84000037.0,USA,801.4216755101268,5.409717186366931,2020-04-20,,
568,North Carolina,US,2020-04-21 23:40:34,35.6301,-79.8064,7134,245,,6889.0,37.0,71.9307311294002,83331.0,427.0,3.4342584805158403,84000037.0,USA,840.2102264850081,5.985421923184749,2020-04-21,,
627,North Carolina,US,2020-04-22 23:40:26,35.6301,-79.8064,7495,265,,7230.0,37.0,75.57062374752655,90336.0,434.0,3.535690460306871,84000037.0,USA,910.8402757647176,5.790527018012008,2020-04-22,,
686,North Carolina,US,2020-04-24 03:33:00,35.6301,-79.8064,7820,281,,7539.0,37.0,78.84753538434394,96185.0,486.0,3.5933503836317136,84000037.0,USA,969.8146024223939,6.2148337595907925,2020-04-23,,
745,North Carolina,US,2020-04-25 06:32:46,35.6301,-79.8064,8290,294,,7996.0,37.0,83.58645375143365,100584.0,477.0,3.5464414957780463,84000037.0,USA,1014.1688617773464,5.753920386007238,2020-04-24,,
